Date,Open,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume
2022-01-03,204.0,53.252047945608155,2401.7053313755164,54.726732337360964,42.59000015258789,38.46763171017528,116.97865426346277,210.5500030517578,53.63371972636874,2444.3274235130098,54.87662202805487,43.150001525878906,38.822950211431674,117.20361321396943,203.33999633789062,53.02486343480512,2375.5473678182275,54.08309628531028,42.099998474121094,37.92619067699238,113.29832912847095,207.86000061035156,53.17026138305664,2439.78759765625,54.55921173095703,43.119998931884766,38.2222900390625,113.94620513916016,9060200,3254600,389000,12359400,5093500,2398778,3901500
2022-01-04,211.3000030517578,53.942689649386736,2453.248413065589,54.22416079885028,43.31999969482422,38.60299788154135,114.82805915534897,214.55999755859375,55.63294292836611,2496.118309576735,54.93833388360835,44.630001068115234,40.83643555849316,114.8460528525667,209.77999877929688,53.91542861797109,2420.270787765508,53.84503225102253,43.209999084472656,38.60299788154135,111.39968659091494,213.6300048828125,55.069522857666016,2443.266845703125,54.77962875366211,43.63999938964844,40.548797607421875,112.42549896240234,11414600,4918600,381600,11415200,9135000,2297787,3769400
2022-01-05,216.63999938964844,55.623861585752344,2457.4113121672513,55.052949190565094,43.5,41.03101377421817,112.16454336227031,218.92999267578125,55.99644409030618,2458.7396225926223,55.784756519811,44.13999938964844,41.775496627478795,112.38050205034173,211.80999755859375,54.57881478837498,2391.594970460241,54.770807497297696,43.040000915527344,40.489576365114665,105.50575650410899,213.07000732421875,54.687862396240234,2392.090576171875,54.80607604980469,43.04999923706055,40.58263397216797,105.99166870117188,11564700,3673300,255000,11074100,6601200,3123432,6376600
2022-01-06,214.63999938964844,55.433021973963356,2391.7832629210448,54.89502288465321,43.099998474121094,40.60801560199945,104.99284563403351,216.0,55.832865474666185,2438.5287069222754,54.957282035225056,43.36000061035156,41.53015590817677,107.97130005475265,207.86000061035156,54.742382569738346,2391.7832629210448,54.13012087149141,42.540000915527344,40.28653552889303,103.9670333300637,211.33999633789062,55.70564270019531,2408.614013671875,54.68156051635742,42.59000015258789,41.20021438598633,107.22444152832031,7142200,3510400,247100,8048900,5510700,2281542,4678300
2022-01-07,212.97999572753906,55.760170274094136,2413.600069293745,54.690455118215084,42.40999984741211,41.360960477548645,106.92749321198448,218.32000732421875,56.6961694061739,2444.585351321029,56.04237097312345,42.7599983215332,41.606302198498625,107.97129920376081,212.3800048828125,55.423938148313376,2402.4687832002987,54.44141512989479,42.06999969482422,40.92949985300386,104.69589733528633,215.5,56.64164733886719,2413.183837890625,55.88227844238281,42.11000061035156,41.13254165649414,104.96585083007812,9526400,5161700,229900,16670000,5341300,1304128,2963200
2022-01-10,214.25999450683594,57.36863369261239,2412.3510188380883,55.85559435737397,41.900001525878906,41.200213185881864,104.092997974883,215.27999877929688,57.63216509080594,2412.3510188380883,58.09693392838115,42.43000030517578,41.30173590737655,104.17397989563923,207.1300048828125,56.35993390904789,2341.6478264966286,55.82001673096055,41.439998626708984,40.26961512386664,100.59263751913659,209.30999755859375,57.068748474121094,2405.075439453125,57.90126037597656,42.40999984741211,40.65031433105469,103.22915649414062,8229000,5214700,327400,27534100,6454500,1744214,7798500
2022-01-11,209.0,56.97788147927409,2371.0472252051895,57.55438891224512,42.650001525878906,40.65031782435038,104.17399498258567,217.02999877929688,57.504947792385856,2452.5148356605655,58.56832754862028,43.650001525878906,41.115616895343585,109.45603397715814,208.41000366210938,56.296327881355886,2371.0472252051895,57.19861942203275,42.38999938964844,40.21885721933731,104.01202425241404,216.02000427246094,57.31411361694336,2447.71728515625,58.2392463684082,43.400001525878906,41.098697662353516,109.15009307861328,8098400,4054300,288900,12999500,6208600,1359792,4460500
2022-01-12,217.08999633789062,57.568556863683604,2458.2042691585893,57.68779930480676,43.58000183105469,41.284812194387214,109.9329441649399,221.24000549316406,58.08653729989743,2473.022831172467,58.13250944019026,44.650001525878906,41.4286348249514,111.93058085070102,216.3000030517578,57.132362994585684,2395.767872824558,57.26087458911381,43.41999816894531,39.80431530678244,108.70017344396679,217.4499969482422,57.75030517578125,2414.690185546875,57.6522216796875,44.40999984741211,40.472652435302734,110.0859146118164,9134500,6411300,278100,10148200,13543700,1869629,4740300
2022-01-13,222.25,57.75939232999692,2421.3710941116547,57.501020510235186,44.2400016784668,40.75183557462741,110.32886192657136,226.88999938964844,58.64086589075923,2473.072596833473,57.776738616253894,45.31999969482422,42.37615887823321,111.12971519536227,220.0500030517578,57.69578094313451,2420.310430089086,56.798377698561644,44.06999969482422,40.69261642800167,106.49555970688775,223.89999389648438,57.84117889404297,2437.369140625,57.456546783447266,44.56999969482422,42.1984977722168,107.0264663696289,17628000,4159900,252400,8201800,11883600,2830798,3731300
2022-01-14,222.16000366210938,57.43224887320368,2437.369124994208,57.17194402917206,44.16999816894531,41.77549337859991,104.44395046717834,226.1999969482422,57.87752860294464,2438.3801800382125,57.803431718797036,44.95000076293945,42.164650340459886,105.9466747412905,220.25,56.487160412952406,2381.66308960534,57.145262502048936,43.84000015258789,41.377871302373016,102.86023739384419,225.9600067138672,57.79574203491211,2429.40966796875,57.75006866455078,44.86000061035156,42.09697341918945,104.48894500732422,8053500,5777500,276100,10302000,8675000,1232787,4125500
