Date,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
2022-01-03,627.7914547857935,113.5727788589763,633.2647116157292,115.06244652998073,609.3999899506746,112.73433621191397,619.3950805664062,113.62162017822266,1360600,615258
2022-01-04,619.3951560552814,114.26470833378328,619.3951560552814,116.54397739945684,594.5397348762956,113.34485602700612,606.4966430664062,116.0392837524414,1998900,770270
2022-01-05,597.7766073766193,116.23465110828339,602.9360364008746,117.07309379489227,581.8275179152855,113.05995033954912,582.347412109375,113.20647430419922,2295800,648774
2022-01-06,575.5793187807419,113.96350051421494,584.4562545633119,114.06933079830912,569.1153649352246,112.7668882861157,575.1771850585938,113.05179595947266,1789000,465154
2022-01-07,575.8940627656985,112.80759969620135,578.398194175531,113.32857377511482,553.6317537373112,111.20396892555499,557.3535766601562,111.67610168457031,2275200,614300
2022-01-10,543.5660133313726,111.41561904680405,560.623642078804,111.41561904680405,534.079696518217,108.11881495545141,559.9362182617188,108.71305847167969,2956700,839815
2022-01-11,556.0181731957649,108.52582356794838,569.1869980097429,109.22588245069257,548.4762879861557,106.68612651186274,568.31298828125,109.20146179199219,1696500,723946
2022-01-12,574.2933050162085,109.48637466114914,578.9677150837899,110.1620203511761,565.4453230936514,107.57341553838131,566.8790893554688,107.70365905761719,1433700,1197239
2022-01-13,570.4438524778101,107.91531576294693,572.054374694724,110.50392083928074,541.7787747064353,107.91531576294693,542.976806640625,109.22589874267578,1633400,495438
2022-01-14,541.4153982907651,108.22463103358989,547.3173294937183,109.04679317633108,533.6280114082887,107.18267553751187,540.8850708007812,108.20020294189453,1722600,422182
2022-01-18,529.6215243374953,107.06872035266387,539.0292659109543,107.45131068488536,526.4692275429634,104.02426326657955,528.1484985351562,105.50579071044922,1888100,751118
2022-01-19,532.3612431306417,106.10818361986918,548.5252651853882,106.7187076372,531.0846329662473,104.88715045319131,535.54296875,104.99297332763672,1904500,512316
2022-01-20,542.1715171811782,105.44880981042496,556.2929252759945,107.10942210071373,533.9913593982885,102.86835267326524,534.8260498046875,102.99859619140625,1924000,738429
2022-01-21,537.1534387965113,102.73810501041912,542.8196957453924,104.86270974837356,518.3281907559601,101.84267342533273,519.0450439453125,104.16264343261719,2574900,986208
2022-01-24,516.5409193423391,102.66484941099483,526.0959251531967,108.17580069427233,491.3619901817783,101.85896019096378,525.0648193359375,107.55713653564453,2850100,1505108
2022-01-25,507.6144069210211,105.05807872535539,519.3396928950167,106.17329627779569,499.8663079806228,101.89151833856454,506.7109680175781,103.5277099609375,2418200,1117280
2022-01-26,522.4723093482852,104.20334225762225,527.1958087772491,105.60346742460649,490.7630016167436,100.93096663372751,498.35400390625,102.30667114257812,2503100,653682
2022-01-27,507.1233004301512,103.76377582032646,516.5408684924898,105.00923688405587,504.05941262116954,102.06246244767308,507.9187316894531,102.97417449951172,2485400,869621
2022-01-28,510.80586960386046,102.53460445485493,526.5868879243669,104.34174071709613,497.0674931277532,101.0123758907613,525.2022705078125,104.27661895751953,1760600,537692
2022-01-31,526.213746415467,103.91844468103659,546.6299166900656,106.05118979934785,522.4722643206901,103.53585433308601,545.2452392578125,105.96978759765625,2209400,606400
2022-02-01,546.394240093427,106.3930993909436,551.7461843753109,106.59660491986746,538.3318595756981,104.95227281217083,550.7445678710938,105.9128189086914,1706300,732564
2022-02-02,552.6398597190101,105.80697953664269,554.7119010660531,107.95600502100285,544.4302125305671,105.00923798764194,552.1881103515625,107.14198303222656,1245500,1023555
2022-02-03,534.0896274282827,106.66170178689305,542.829603463153,107.11755406525498,523.9846931972904,104.73246238912117,525.9585571289062,104.9685287475586,1372400,604964
2022-02-04,521.4806656529432,103.9835715097813,540.3844983177568,104.75689989752895,521.4806656529432,103.01488526244451,534.237060546875,103.92658996582031,1504500,1219863
2022-02-07,534.6101243705103,104.53711972161852,545.9033208336772,105.20461784492153,532.7442679363519,103.47888355556101,535.4743041992188,104.24406433105469,1411600,879675
2022-02-08,529.5820795284411,104.20336167819595,546.3942033289422,105.31043915390488,528.7276697201168,100.80888213099767,544.26318359375,101.13449096679688,915500,1223214
2022-02-09,555.9195994062727,100.97981020333232,569.5303956743383,104.53710101882288,554.8394050705317,100.83328625126099,568.98046875,103.98355865478516,1670700,959396
2022-02-10,552.5023835078057,101.89151994927417,565.5533674767355,104.04868567568043,542.397450452296,100.75188915328111,547.5530395507812,101.2240219116211,1594200,976273
2022-02-11,549.733204084868,101.21588195838585,551.5990606975129,101.50078965813493,523.0910732590588,97.82139535339358,526.1746215820312,98.88777160644531,1250400,1524260
2022-02-14,526.4985985447153,99.05057079408479,528.6393883706513,99.15639364842302,514.7242245332872,96.51894764155114,519.5360717773438,98.22840118408203,1165400,1528210
2022-02-15,528.0698531878672,99.41688203251576,529.6312867122108,100.78444637201942,506.49496678471104,99.15639500289421,518.2890014648438,100.77630615234375,2170300,934618
2022-02-16,516.5113722083405,100.8088694950806,520.8813591646774,100.82514993482988,502.5078323499244,97.92721679147597,518.6522216796875,99.03429412841797,1318400,849152
2022-02-17,513.8698674065942,98.13072332310549,516.4427470658544,98.74124725413218,485.82343524989363,96.99109252863855,487.2571716308594,97.43880462646484,2145400,1033131
2022-02-18,488.7498495505398,97.43880290572424,489.70240719380797,98.24468466757995,470.14061630158676,96.66548202313544,472.54656982421875,97.39810180664062,2323300,942638
2022-02-22,471.29941921532384,97.42251833113086,485.47974732142774,98.43191297955305,468.2944495443831,96.59221594506599,474.5597229003906,97.3004150390625,2282900,858129
2022-02-23,483.0639752283676,97.796967283208,483.0639752283676,97.82138794133611,457.1779921053723,95.46071688829545,458.6019287109375,95.65608215332031,1799500,845321
2022-02-24,449.7637657216508,93.71034246551957,489.3390370498215,97.56972374268773,442.1629640743554,93.10655153170148,488.1900939941406,97.43101501464844,2683700,758180
2022-02-25,480.2357743165766,97.42283700585072,483.2800330230447,100.67842672524138,466.0750759311822,96.90879887693048,478.4190368652344,100.52339935302734,2846500,824135
2022-02-28,470.22897224264074,99.16079182455289,475.7479024660445,100.55603830014873,455.05682900782074,98.09191134209237,465.83935546875,100.36021423339844,2525400,1166237
2022-03-01,467.5677185908089,100.37653702199609,475.84611399275883,101.38830219314617,457.4725859021325,99.27502660135355,460.1534729003906,100.36837768554688,2176700,1092263
2022-03-02,463.6199346864251,101.02929030793254,480.54009485244944,103.6892414133489,459.58386004412614,100.99665296248509,477.2601623535156,103.22415924072266,2083000,950179
2022-03-03,481.33564211320487,104.07272420299174,484.00672963828674,104.83970922809473,460.55615812534995,103.02832920907893,464.199462890625,104.30118560791016,1640400,737591
2022-03-04,462.34338035927567,103.29759494623063,466.09469215901436,104.55414021782119,452.6705077735737,102.84883143903716,456.5887756347656,104.40726470947266,1611900,700365
2022-03-07,455.87194839725174,104.61125426265075,458.3466205324063,104.61125426265075,428.6602647957691,100.21334959290776,429.5244445800781,100.24598693847656,2312700,969690
2022-03-08,430.54566769966453,100.23782720944986,447.0631993583034,101.81258657842517,424.3786026887064,98.83442135548836,434.2576904296875,99.20159149169922,2669000,1530724
2022-03-09,448.2711583400796,100.5805158166774,461.5087291289332,103.80346846908016,443.8717111224932,100.5805158166774,456.3825988769531,102.50613403320312,1950400,712454
2022-03-10,451.8751378072698,100.96401575270677,451.8751378072698,101.8778614264635,435.36743365843915,100.37653608241442,444.23504638671875,101.68203735351562,1756200,1142058
2022-03-11,449.34148641003077,102.44087186230267,453.5936064602392,103.3384064569274,430.6242464317522,101.32304260216677,431.419677734375,102.01658630371094,2303200,765721
2022-03-14,432.0089452729926,103.01201499418471,437.2725421718129,105.03553783388816,415.42266324171266,102.5714108370647,416.993896484375,103.49341583251953,2353900,978667
2022-03-15,420.10685721626146,104.43991223781495,433.55067223508144,108.47063947435568,417.88751919297374,104.17880601171699,431.7732238769531,107.05906677246094,1953400,1649346
2022-03-16,436.99757478889455,107.75261163242045,449.66558837890625,111.75886090493364,430.113625874682,107.71181494841215,449.66558837890625,110.70630645751953,2487400,1777784
