Date,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Volume,Volume,Volume,Volume
2022-01-03,157.99906526501778,199.29377764945042,56.91873992151399,102.11367173565343,158.94342139772397,199.6155937496764,57.3259459412457,102.1898557955586,155.37482847087452,194.74479399649522,56.556775179584,97.6536706003984,158.84353637695312,196.10166931152344,57.154014587402344,97.90068054199219,1039100,1317500,17184300,2570000
2022-01-04,157.92642959856298,197.2062884270762,56.83543211702253,98.3670030317038,160.15112643985097,198.771903597912,57.17222370012611,98.74559853859338,157.7175841267623,195.9451032209641,55.624813705155326,97.65137721127499,159.44285583496094,197.6759796142578,55.75224685668945,98.13615417480469,964800,1154000,29682500,2774000
2022-01-05,159.81514083356353,198.94585047958435,55.69761962803864,97.88221289816804,161.69479147019152,198.94585047958435,56.10722858193701,98.31158833265306,159.74249592505814,196.24081953490918,54.84199473612268,93.62535998611023,161.11363220214844,196.94534301757812,54.869300842285156,93.72000885009766,913700,1027500,30317900,2980800
2022-01-06,161.60399082214016,197.97169264812246,54.61445006365761,93.71770293385116,163.4019073765391,198.11955445192254,55.64302317876526,94.5995471847559,160.53249568183352,195.61457031257748,54.53252824967039,92.59347022131199,162.12156677246094,196.31910705566406,55.45186996459961,93.0320816040039,1341100,943300,19616600,2906000
2022-01-07,162.57556046773752,195.7972499469227,55.40635228082482,92.91434043822682,163.9648751409558,196.34521859857463,55.97980491315277,92.91434043822682,161.84004990024422,193.2748794247115,55.224303440307224,91.73701707785578,163.35647583007812,195.73635864257812,55.64301681518555,91.74394226074219,1129100,928900,20152400,2430000
2022-01-10,163.97396108414213,195.64065720327824,55.406346898161075,91.09295009660673,165.47222242109973,196.05816339581784,56.34389712044228,92.28182016694123,162.9024660504715,192.1006405384463,55.08776406242486,90.19494476268834,163.1748809814453,193.78802490234375,56.27107620239258,92.16178131103516,1510800,855500,24715300,3103200
2022-01-11,163.22031017649107,194.15335759239318,56.07081994410357,92.14794414789293,164.23731129150357,194.44038815936983,56.82632131382998,93.69231656678829,162.17606894986938,191.03083345058604,55.925181586026376,90.5735532045359,163.05686950683594,194.34471130371094,56.771705627441406,93.51687622070312,1280400,1259300,22804200,2096400
2022-01-12,162.26683385403277,193.98808866300996,56.79901723139431,94.49105302329176,165.68107498636434,197.09322654189887,57.18131663286444,94.64802855058818,161.7038531803391,193.96199618267156,56.36209866929634,93.47300874885389,165.27244567871094,196.7279052734375,56.54414749145508,93.77310943603516,1707100,1649400,13405400,2117600
2022-01-13,165.4450155849601,197.4411389455551,56.50774628369751,93.90237681423656,166.5437509471266,199.18070845168333,56.571462857125255,94.22787451260388,164.9183503073234,194.07507619819282,55.715834347164915,93.28370363554208,166.1442108154297,194.59693908691406,55.97980499267578,93.43375396728516,1251900,2029500,14871600,2821600
2022-01-14,166.4438471174118,193.24875202939523,55.95249060766065,92.44803836457844,169.6764694824732,194.30989039084642,55.97979671443659,92.94436197838205,165.81729687760827,190.7350748585158,55.47006073010104,91.12527193044151,169.4403839111328,194.1272430419922,55.85236358642578,91.7508773803711,1762900,1596900,18831900,1707600
