Date,Open,High,Low,Close,Volume
2022-01-03,30.78695297241211,30.897725715539806,30.15638568204552,30.78695297241211,2353800
2022-01-04,30.880684021732673,31.391952300836106,30.84659860297526,31.238571166992188,2723900
2022-01-05,31.170412664897515,31.40048118215418,30.676183700561523,30.676183700561523,4353800
2022-01-06,30.812515607725665,30.88068645060236,30.420543012878777,30.642091751098633,4259800
2022-01-07,30.505748576766724,30.786948384100953,30.343847725933323,30.650609970092773,2720600
2022-01-10,30.57392190557786,30.60800407393975,30.292722075282153,30.53131675720215,3725800
2022-01-11,30.52279712493298,30.744349121689652,30.15638695769794,30.608007431030273,3259700
2022-01-12,30.539845236359422,30.855127325345773,30.50575980766755,30.676183700561523,2406400
2022-01-13,30.718777194075553,31.059624850408717,30.539833637254514,30.92328643798828,3202400
2022-01-14,30.821035849663794,30.872163982670422,30.463148670311632,30.744348526000977,3122200
2022-01-18,30.642092259987713,30.821035849663794,30.241599928412402,30.744348526000977,3632800
2022-01-19,30.90624568407242,30.948850831166613,30.403497147006483,30.42053985595703,4392000
2022-01-20,30.37793981221901,30.608008295290986,29.721810034935665,29.781457901000977,5234400
2022-01-21,29.926314260034637,30.062652695707687,29.69624254035548,29.85814666748047,4933600
2022-01-24,29.653635283765688,29.807016419330907,28.835604727794166,29.704763412475586,5802300
2022-01-25,29.389477832125035,30.139337458481773,29.091235326824076,29.96039390563965,4827200
2022-01-26,30.020047537772985,30.437585825377177,29.321312648773898,29.559904098510742,4754200
2022-01-27,29.738851503374644,29.994485668761538,29.16793205846464,29.26166534423828,4517400
2022-01-28,29.27018347950268,29.789974762784702,28.375462324121713,29.772932052612305,5274300
2022-01-31,29.568421464620272,30.14786051872491,29.474688198432155,30.13933753967285,4847700
2022-02-01,29.97743778645027,30.335324906142215,29.48320900146896,29.721803665161133,3506100
2022-02-02,29.781453213144154,30.020044639849065,29.51729609746058,29.568424224853516,7665000
2022-02-03,29.43208824194367,29.57694640571743,28.929339657883247,28.97194480895996,5142500
2022-02-04,28.673707283766834,28.77596030282189,27.830110937509215,28.136873245239258,5627600
2022-02-07,28.162433818836078,28.375462823896203,27.693770657816724,27.73637580871582,4746000
2022-02-08,27.80454539529495,28.085741978985325,27.625598568694343,27.796022415161133,5718100
2022-02-09,28.01757547549392,28.61405733593942,28.00905249503012,28.460676193237305,6709700
2022-02-10,28.039351554879143,28.460670846698243,27.549243565605547,27.661020278930664,4640400
2022-02-11,27.678219174203228,28.08234459681106,27.360079628759742,27.901779174804688,5626700
2022-02-14,27.927577530207945,28.21992299681835,27.540649224396184,27.60083770751953,5629600
2022-02-15,27.893182159506566,27.9361767430533,27.36868136850115,27.47186279296875,3229900
2022-02-16,27.635228955681026,27.755605908389875,27.26549786948901,27.53204917907715,4567300
2022-02-17,27.523446009155307,27.592234706222687,27.256898008083233,27.394472122192383,3001700
2022-02-18,27.291294358544548,27.69541816766767,27.21390870402967,27.282695770263672,8355600
2022-02-22,27.2225059940107,27.42886718287089,27.033341980892093,27.325687408447266,4307800
2022-02-23,27.403074399804755,27.643829951925657,26.49164372106971,26.55183219909668,3790500
2022-02-24,25.949945524150337,26.637816180583787,25.932748347736247,26.5604305267334,5560000
2022-02-25,26.758193823417606,27.222506089986783,26.52603687012654,27.20530891418457,3805500
2022-02-28,26.783987747076697,26.921561872441078,26.422855257991966,26.706602096557617,6022600
2022-03-01,26.740994113085367,26.92155952185567,26.225090368007255,26.44005012512207,4726600
2022-03-02,26.586227574629852,27.24830413841257,26.45725202532476,27.08493423461914,4516700
2022-03-03,27.274096430104684,27.729811756350152,27.11932676535456,27.695417404174805,4824900
2022-03-04,27.463259312576852,28.357491058627676,27.411667789525847,28.340293884277344,5482300
2022-03-07,28.262912698982575,28.391889886947048,27.652427673339844,27.652427673339844,3399200
2022-03-08,27.53205176034633,27.970568312045422,27.170919228348797,27.62663459777832,4074600
2022-03-09,27.996362539523314,28.082345138319816,27.695416883683762,27.712614059448242,2599800
