Date,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume
2022-01-03,224.985054945537,140.52000427246094,132.9499969482422,227.0493963581924,141.8000030517578,133.19749450683594,223.10313191536707,139.88999938964844,128.25,226.0988311767578,141.1699981689453,130.19749450683594,1499100,1398000,3693600
2022-01-04,224.1400880323335,141.0800018310547,129.27499389648438,226.51168795204873,142.16000366210938,129.9499969482422,223.72721099625915,139.85000610351562,125.73750305175781,224.3897247314453,140.50999450683594,128.0675048828125,1348500,1831000,3028800
2022-01-05,224.64898924809225,140.83999633789062,126.83499908447266,227.55827744589803,143.36000061035156,128.58250427246094,223.41037269799557,139.82000732421875,121.91500091552734,224.4857635498047,140.39999389648438,121.95249938964844,1829500,1888000,2818800
2022-01-06,217.65902506725064,139.19000244140625,121.53250122070312,227.0782075698735,144.4600067138672,123.61000061035156,217.65902506725064,138.63999938964844,120.0999984741211,226.40609741210938,142.82000732421875,120.75,3011800,1768900,2994800
2022-01-07,226.1660541359783,142.57000732421875,120.75,230.57319209730198,143.8699951171875,123.0,225.30189995768384,140.57000732421875,117.7874984741211,228.77769470214844,140.9600067138672,117.87249755859375,2315700,1712700,4933200
2022-01-10,228.77767485850612,140.22999572753906,111.0425033569336,230.19870971507888,140.61000061035156,115.74749755859375,225.34989141863733,134.57000732421875,108.86750030517578,226.895751953125,135.74000549316406,115.58499908447266,2460900,3142000,5629600
2022-01-11,226.56931337938403,135.55999755859375,116.01750183105469,227.55827856563508,137.2899932861328,120.67500305175781,218.46554786606688,134.67999267578125,115.57250213623047,219.54092407226562,137.11000061035156,120.2925033569336,2644400,2094100,4856400
2022-01-12,220.1170343249321,137.94000244140625,121.61499786376953,220.25145635527764,139.0500030517578,125.3499984741211,217.97587818053444,136.0800018310547,120.9124984741211,219.49293518066406,136.89999389648438,122.59500122070312,1324600,3245800,4424000
2022-01-13,219.07044384440408,137.69000244140625,122.29000091552734,219.8673796201858,137.77999877929688,122.29000091552734,213.8567594597097,133.77000427246094,113.80750274658203,214.17361450195312,134.1300048828125,113.94499969482422,1940200,5568300,4412000
2022-01-14,210.26573539099638,132.36000061035156,113.27999877929688,210.9570527221806,132.75,116.44249725341797,204.94643340665644,127.5,109.49250030517578,208.43182373046875,130.80999755859375,111.83499908447266,4141900,3482600,3527600
2022-01-18,204.3127516747683,129.72000122070312,109.70249938964844,207.68292779322812,129.77000427246094,110.73999786376953,200.09764342978826,127.7300033569336,107.13749694824219,204.62001037597656,129.0399932861328,107.46749877929688,2700700,3741600,3698000
2022-01-19,205.96426280887277,129.57000732421875,108.76499938964844,212.41655003529726,133.05999755859375,112.11000061035156,205.41697830666098,129.10000610351562,108.55750274658203,211.17794799804688,131.32000732421875,108.80750274658203,2327600,4711200,3367200
2022-01-20,212.82937864256328,132.1300048828125,109.50250244140625,213.52069602004437,133.24000549316406,113.73750305175781,202.85330231998813,127.7300033569336,108.48750305175781,203.65023803710938,127.97000122070312,108.66000366210938,3147500,3009200,3406800
2022-01-21,203.23737805260674,127.58999633789062,108.61000061035156,206.30989184843529,128.86000061035156,108.61000061035156,201.78753949684585,125.79000091552734,105.29499816894531,201.80673217773438,126.2300033569336,105.5250015258789,2060100,3470600,3606800
2022-01-24,200.14566443822523,123.62000274658203,103.8499984741211,208.2782336247392,132.75999450683594,106.88749694824219,199.7328020201021,123.62000274658203,100.64749908447266,207.9517822265625,132.14999389648438,106.7074966430664,2468400,5619200,4809200
2022-01-25,206.73234779228252,130.47999572753906,104.0,206.7707624526199,132.75,104.68000030517578,200.8465537475489,128.6699981689453,99.79000091552734,203.56381225585938,131.35000610351562,101.55750274658203,2283200,2423500,4021600
2022-01-26,204.1591497615694,131.57000732421875,103.33499908447266,205.82022509766875,131.83999633789062,104.4000015258789,195.07601528811497,126.81999969482422,97.50250244140625,196.55467224121094,127.5999984741211,98.9574966430664,2327700,2141000,3732400
2022-01-27,196.83312499321923,129.27999877929688,100.0374984741211,200.83699704594855,130.83999633789062,100.47000122070312,196.81391765925972,127.69000244140625,95.50499725341797,197.15957641601562,128.3000030517578,95.87999725341797,2232300,1561700,3961600
2022-01-28,196.98672457176923,127.8499984741211,96.73999786376953,196.98672457176923,128.69000244140625,103.5,192.74281276453544,125.7699966430664,95.51000213623047,196.18978881835938,128.49000549316406,103.34750366210938,2080400,1547000,5807600
2022-01-31,196.3626116307426,128.2100067138672,103.75,200.80816380458398,131.32000732421875,108.0625,196.24739694575524,128.0,103.75,200.17445373535156,131.22000122070312,107.62000274658203,2901900,2040100,3643600
2022-02-01,200.1168608182222,130.91000366210938,108.5250015258789,201.5666994287946,134.39999389648438,109.67749786376953,197.23637627869147,130.4199981689453,106.17250061035156,200.78897094726562,134.24000549316406,108.76000213623047,1705400,1674600,3301600
2022-02-02,200.18408902720302,133.89999389648438,109.75,201.86437175811355,134.66000366210938,110.4124984741211,198.31176226346625,132.07000732421875,106.45999908447266,198.45579528808594,133.72999572753906,108.9175033569336,2020300,2008200,2623200
2022-02-03,197.35159545381524,132.85000610351562,107.8550033569336,199.38714787059078,133.83999633789062,109.52249908447266,196.9003330112038,131.25,104.12000274658203,197.18836975097656,131.83999633789062,104.68250274658203,1850700,1951800,2790400
2022-02-04,197.55324117309294,131.13999938964844,103.53250122070312,197.55324117309294,133.8300018310547,106.2125015258789,192.48358930315334,129.30999755859375,103.12750244140625,194.2982940673828,133.49000549316406,105.0875015258789,2006000,1695200,3285200
2022-02-07,194.47112814755005,134.1300048828125,104.84750366210938,195.30647871990448,137.10000610351562,108.11000061035156,192.26276814137415,133.8000030517578,104.09249877929688,192.59881591796875,135.72000122070312,105.21499633789062,1622000,1759800,2379200
2022-02-08,192.87728111226807,136.0800018310547,104.5,196.26665063800854,140.17999267578125,106.69750213623047,191.5618496607002,135.94000244140625,103.29000091552734,194.69198608398438,139.36000061035156,106.38249969482422,2913500,2575500,1936000
2022-02-09,195.70012434841928,140.2100067138672,107.69249725341797,198.0717097792672,142.3800048828125,112.57749938964844,195.26803995184562,140.0500030517578,107.69249725341797,197.5916290283203,141.60000610351562,111.97000122070312,2354100,1423400,3724000
2022-02-10,195.01841819529727,138.72999572753906,108.56999969482422,197.31320377481742,140.74000549316406,113.80750274658203,192.95407666823334,137.08999633789062,106.80500030517578,194.0486602783203,137.92999267578125,110.56749725341797,1854200,2306300,4499600
2022-02-11,194.55753003721082,137.75999450683594,106.5199966430664,195.10481447544072,139.63999938964844,111.75499725341797,192.3875556638979,137.00999450683594,104.40249633789062,192.63720703125,137.42999267578125,105.13999938964844,1212000,1171000,4632000
2022-02-14,192.8484249696488,137.63999938964844,104.51000213623047,193.37650202418416,138.07000732421875,105.88500213623047,191.28335718378466,135.00999450683594,100.9800033569336,192.61798095703125,136.9600067138672,101.75,1442400,1657000,3262800
2022-02-15,193.28052743565098,138.58999633789062,103.80000305175781,193.55896784522284,139.1699981689453,105.47000122070312,190.352031709933,137.00999450683594,102.7249984741211,191.21617126464844,137.7899932861328,104.37750244140625,1721700,2075900,2981200
2022-02-16,190.3232203674504,137.3699951171875,104.12999725341797,191.18735988735304,138.3000030517578,104.12999725341797,186.5785962466693,133.5,100.75,189.48788452148438,136.75999450683594,103.40750122070312,2661500,1752600,2134800
2022-02-17,188.87337373115585,135.5,102.66000366210938,190.81288939833306,137.24000549316406,103.39250183105469,188.19165262474093,134.82000732421875,96.72750091552734,189.26702880859375,135.75,96.8125,1853300,1455900,4331600
2022-02-18,189.1133984239832,135.3000030517578,96.75,193.56854679598942,143.64999389648438,97.99250030517578,188.92135442058859,134.94000244140625,94.75,192.00347900390625,142.83999633789062,95.30999755859375,3468300,3914200,4454800
2022-02-22,190.56326503845884,142.32000732421875,96.16500091552734,191.38900456199227,142.83999633789062,100.13500213623047,183.6692974534421,139.22000122070312,95.1449966430664,184.2934112548828,139.7899932861328,97.73999786376953,2167700,4096200,2828400
2022-02-23,184.61986135461285,139.47999572753906,99.42500305175781,185.30158250037522,141.25,99.68250274658203,180.56797844828534,135.97999572753906,93.84750366210938,180.83682250976562,136.1999969482422,94.07749938964844,1654100,2019300,2924000
2022-02-24,177.773900611101,133.24000549316406,92.22250366210938,183.6692917924685,136.44000244140625,102.71749877929688,177.773900611101,130.60000610351562,91.43250274658203,183.19882202148438,136.1300048828125,102.18000030517578,2083100,2745600,5588000
2022-02-25,188.00922453009522,136.5399932861328,102.18000030517578,191.48500453760732,140.91000366210938,103.10250091552734,184.61025920214556,135.47999572753906,99.5425033569336,191.0625457763672,140.69000244140625,102.83499908447266,2561500,2105300,2756800
2022-02-28,190.0255835940878,140.6999969482422,102.3375015258789,191.68665904079515,146.22000122070312,103.62000274658203,187.83641634325295,139.6999969482422,100.81749725341797,190.43844604492188,142.0800018310547,103.47750091552734,1569700,3289300,3374400
