Date,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
2022-01-03,118.3711619699707,73.19999694824219,120.3312000360037,74.05999755859375,117.98268134482291,72.26000213623047,120.1104736328125,73.97000122070312,4605900,1391200
2022-01-04,120.16347285622257,73.7300033569336,123.56265176599527,73.75,119.98688093607062,70.81999969482422,121.85865020751953,71.80999755859375,7300000,2297400
2022-01-05,122.11467555857801,71.72000122070312,125.54917792120544,72.81999969482422,121.73503260418241,70.37000274658203,122.03521728515625,70.44999694824219,8956900,1597300
2022-01-06,122.01756537654046,70.80999755859375,122.20298150175498,72.69000244140625,116.99382977438282,70.44000244140625,119.4924545288086,72.62999725341797,9908100,1997700
2022-01-07,119.1039564188185,72.69000244140625,119.77497327647927,74.44999694824219,117.8767182111288,72.69000244140625,119.04216003417969,73.19000244140625,5238100,2531700
2022-01-10,118.72431738897396,73.0,120.25174030838636,74.9000015258789,117.76195351600761,72.83999633789062,119.21874237060547,74.66000366210938,5432800,2084900
2022-01-11,115.23684072511635,74.45999908447266,117.6471691999603,75.38999938964844,112.98542878897702,73.8499984741211,117.31166076660156,74.44000244140625,11105300,1317400
2022-01-12,117.64717250370477,73.9800033569336,118.72431842540675,74.52999877929688,115.98730564624849,72.83999633789062,117.94735717773438,73.62000274658203,5352000,1638800
2022-01-13,118.22107011240078,72.94000244140625,120.11932548711262,74.2300033569336,117.92088540193096,72.79000091552734,118.9803695678711,73.6500015258789,4868300,1319200
2022-01-14,118.79495090537485,73.4800033569336,119.31586197489824,74.94000244140625,117.69131890787428,72.83000183105469,118.49476623535156,74.87999725341797,5310300,1580800
2022-01-18,117.38230595722943,75.70999908447266,118.21223944132456,76.30000305175781,116.34930794151678,74.47000122070312,117.37348175048828,75.01000213623047,5246700,3063700
2022-01-19,117.33815796927395,75.05999755859375,118.2210636378827,76.19000244140625,116.10209542205024,74.05999755859375,116.1727294921875,74.77999877929688,4103700,1551200
2022-01-20,115.89019141478887,75.2699966430664,117.32050773676686,76.05000305175781,115.28099782943418,74.66000366210938,115.50172424316406,74.76000213623047,5278200,1336300
2022-01-21,116.23451421945231,74.98999786376953,116.42875452482005,76.5,114.13320810003677,74.68000030517578,114.20384216308594,74.79000091552734,5907000,1820500
2022-01-24,113.00309607078171,73.83000183105469,114.02726315660449,75.43000030517578,109.64805852918485,73.08000183105469,113.73591613769531,75.33999633789062,13484000,3265500
2022-01-25,114.01845247783896,74.79000091552734,121.25827721673019,75.04000091552734,113.27681485211492,72.66999816894531,120.16348266601562,74.1500015258789,19715700,1716700
2022-01-26,120.4901528723784,73.20999908447266,121.01990172919888,75.0999984741211,117.54125080052457,73.11000061035156,118.53892517089844,73.5199966430664,8336000,3195000
2022-01-27,118.00918996934341,73.5999984741211,118.97155403772395,74.30000305175781,116.61419721815213,71.47000122070312,117.00267791748047,71.58999633789062,5497300,1921100
2022-01-28,117.59421959180095,71.44999694824219,118.77731006947731,74.26000213623047,116.35814345231606,70.73999786376953,118.75082397460938,74.2300033569336,5471500,1621400
2022-01-31,118.3888192707937,73.6500015258789,118.3888192707937,74.72000122070312,116.80842403300198,73.5,117.92971801757812,74.33000183105469,5859000,1754900
2022-02-01,118.09745524899053,74.0999984741211,120.03985846248518,75.76000213623047,116.98499897659269,73.94000244140625,119.66020202636719,75.19000244140625,6206400,1555100
2022-02-02,119.81028847218676,74.91999816894531,121.45249344415636,75.41999816894531,119.42180784861344,73.08999633789062,121.17879486083984,74.38999938964844,5357200,1746300
2022-02-03,120.95807083409471,73.95999908447266,122.51197988683545,74.22000122070312,119.92507286770751,72.83999633789062,121.64673614501953,73.05000305175781,6100800,1583000
2022-02-04,121.71736879316823,73.0199966430664,122.56496411246577,73.26000213623047,120.26940412142413,72.2699966430664,121.09049987792969,72.69000244140625,4142000,1322100
2022-02-07,121.35537792140978,72.69999694824219,121.68206217028893,73.88999938964844,120.31355572938854,72.6500015258789,121.16997528076172,73.3499984741211,3759000,1465100
2022-02-08,121.16115645367456,70.62999725341797,121.41720667431251,72.7300033569336,119.88094576670397,67.9000015258789,120.97575378417969,70.06999969482422,4181800,3279700
2022-02-09,121.69971133132246,66.83999633789062,122.15000183409184,69.88999938964844,120.80798147646345,66.61000061035156,121.65556335449219,68.27999877929688,5393500,3234300
