Date,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume
2022-01-03,207.21085478199637,92.55942467571491,22.343930453004987,207.59315375306866,92.6365914486002,23.243249824539934,201.0368758771289,89.54998676444453,22.343930453004987,201.47650146484375,89.95510864257812,23.215436935424805,408300,1558500,4790600
2022-01-04,203.18724372743398,88.73973610822569,23.53065612202587,208.18568392534962,89.40528648392592,24.049852346553056,202.87185256773498,86.58875883197847,23.456485485431624,206.36024475097656,86.82025909423828,23.72535514831543,432400,2462900,7798700
2022-01-05,207.64091243950674,86.95530677193982,24.114751939736085,209.61927118214086,89.37636059401314,24.30017765093805,204.4296742448526,85.97144894698937,23.75317029977987,204.50613403320312,88.1802978515625,23.80879783630371,322100,1921400,7700300
2022-01-06,203.7319841934759,88.58541445117335,24.448524155119276,206.17863891328975,89.27990061280903,24.652492996813606,202.14547651061733,87.87164027794898,23.716087452383164,204.5347900390625,88.31533813476562,24.059127807617188,393900,1169300,5841900
2022-01-07,204.8597449354765,87.67872238205258,24.105479004816786,206.30288503678815,89.22202072824933,24.281634923456398,203.57906181865954,87.26396026160343,23.929323086177178,203.79888916015625,87.30254364013672,24.21673583984375,244500,1026900,6915200
2022-01-10,201.30448973988416,87.33147488308455,24.216739304066337,201.96394274357107,87.44722501278477,24.346537489859358,196.41116470401232,85.20943332607366,23.67900168930828,198.27484130859375,86.75273895263672,24.170381546020508,686800,1249100,9974100
2022-01-11,198.96294453521966,86.83955323109329,24.36507960622521,202.3653398548925,87.38935351446037,25.078971367539893,196.6309863665124,86.39585540232576,24.23527965732179,202.3175506591797,86.66593170166016,24.995529174804688,324800,1567500,9988300
2022-01-12,203.90404005314943,86.95529529325432,25.19022699028169,205.27072051012928,87.85233855216278,25.245854526613684,202.91007737242433,86.79132146375075,24.55977568396078,203.41661071777344,87.71730041503906,24.78228759765625,517300,1140800,8317900
2022-01-13,204.38188584946505,87.81378237309202,24.485604522161292,206.39846705862539,88.70117822303679,25.0326136280965,201.27577825043497,87.41830816401277,24.272364163811623,202.14547729492188,87.79448699951172,24.355806350708008,309600,1530000,9390700
2022-01-14,199.77528515275276,87.18680540584799,24.263095056560868,202.0021271511439,87.4954651172205,25.54253910386849,197.33818239343452,85.72067361658559,24.142568423555222,199.8230743408203,87.37971496582031,25.459096908569336,360400,1471600,12025900
2022-01-18,197.8065006209785,86.48268175387618,25.74650802910706,199.2400888182123,87.0903535110455,25.81140711715597,194.77685264747663,85.09370932717115,24.578319139124037,197.71092224121094,86.37657928466797,24.847187042236328,553000,1694500,10407500
2022-01-19,198.78137602410533,86.71416477959829,25.134602996517373,199.89000665487666,88.98088504053267,25.199502092779742,196.95593659847071,86.60806232253508,24.327995648363395,197.118408203125,88.49860382080078,24.374353408813477,335200,1486700,10458900
2022-01-20,197.42420078866928,88.44074563520347,25.310755490019282,199.64147610993425,89.17380790015632,25.84849309673778,193.85933458448218,87.10000423287289,24.671034353859987,194.06959533691406,87.33149719238281,24.77301788330078,284800,1939000,12793300
2022-01-21,193.8211328742387,87.01318103906108,24.569044375614645,195.50320449176388,87.40865519092749,25.644519384172167,190.38051526655804,84.698229599257,24.38361691826309,191.87144470214844,85.1998062133789,25.255123138427734,377700,5360200,15878200
2022-01-24,187.9720887506553,83.820478939116,24.73593344076132,192.22507899201898,84.35098387475841,25.134601312075837,184.25431705174967,81.88170634108204,23.660458227542794,191.49871826171875,84.13878631591797,25.097515106201172,464800,2417200,11878600
2022-01-25,187.89565303896552,82.98130505081704,24.98626083172833,189.23366300470272,84.00373887635321,26.108092070128958,184.34035274918966,80.88820633441559,23.994226012975247,187.01637268066406,83.33819580078125,25.894851684570312,682700,2165900,13512800
2022-01-26,188.83225060256808,83.63721253717769,26.061733860601922,192.34931352760506,84.61142271158464,26.3120586635503,184.22564658132026,82.69194541902374,25.153141316755374,186.62452697753906,83.5021743774414,25.514724731445312,511500,2554900,12946600
