Date,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Volume,Volume,Volume,Volume
2022-01-03,68.52999877929688,83.62036603235974,93.07333374023438,18.360000610351562,70.33000183105469,84.59849829844663,93.4000015258789,18.569000244140625,67.7699966430664,81.10792384922236,89.63999938964844,17.860000610351562,70.16999816894531,82.05728149414062,90.70166778564453,18.530000686645508,7049900,2209600,7802400,34283600
2022-01-04,70.55000305175781,81.89424228805699,89.57499694824219,18.610000610351562,71.26000213623047,82.91072584001476,90.72166442871094,18.84000015258789,67.33000183105469,81.48189394441752,85.5566635131836,17.790000915527344,70.94999694824219,82.68058013916016,87.33333587646484,18.170000076293945,7792100,1739200,9586200,39643200
2022-01-05,69.66000366210938,82.9778619582732,85.54166412353516,18.030000686645508,70.5999984741211,83.52926206391992,86.74833679199219,18.56800079345703,66.97000122070312,80.29280894870068,83.61000061035156,16.8700008392334,67.41999816894531,80.38870239257812,84.1433334350586,16.959999084472656,7227200,2656900,7494000,58445900
2022-01-06,67.41999816894531,80.73392416794465,83.5,16.8700008392334,68.55999755859375,81.49149480765547,90.16666412353516,17.18000030517578,65.9000015258789,80.34075153930202,82.83499908447266,16.05500030517578,67.25,81.23257446289062,88.8183364868164,16.739999771118164,5442700,1641400,16553400,49737100
2022-01-07,67.5,80.93530861148366,87.80999755859375,16.700000762939453,68.4800033569336,81.76958967815479,91.36666870117188,17.329999923706055,64.18000030517578,80.75310593430201,87.38333129882812,16.475000381469727,64.55999755859375,80.8969497680664,87.5816650390625,16.559999465942383,6794400,2351500,13586400,37989300
2022-01-10,63.0099983215332,80.36952634230977,85.63166809082031,16.190000534057617,65.20999908447266,81.2134062811096,87.43000030517578,16.56999969482422,61.66999816894531,79.07494644625262,82.0,15.350000381469727,65.12000274658203,81.18463897705078,87.10166931152344,16.5,6096500,1940000,14975400,77649400
2022-01-11,65.06999969482422,81.70245259031803,85.78666687011719,16.399999618530273,66.18000030517578,82.7477108139125,88.28333282470703,17.25,64.5,80.72432782086479,85.3066635131836,16.31999969482422,65.93000030517578,82.69976043701172,87.67500305175781,16.889999389648438,4907900,2334200,7239000,47442600
2022-01-12,66.86000061035156,83.16007627296833,88.10166931152344,17.15999984741211,68.0199966430664,83.75462009801927,89.63333129882812,17.459999084472656,65.97000122070312,82.59429243728874,86.37999725341797,16.399999618530273,66.48999786376953,83.38063049316406,88.66999816894531,16.719999313354492,5361400,2864100,6079200,39784200
2022-01-13,67.5199966430664,83.51486809403956,88.66999816894531,16.799999237060547,68.19999694824219,84.08065183011422,89.01333618164062,16.81999969482422,64.47000122070312,82.02850147688177,82.66999816894531,15.9399995803833,64.63999938964844,82.23947143554688,83.0999984741211,16.010000228881836,6707900,3365800,9814800,35492200
2022-01-14,63.83000183105469,81.37642808189494,81.92500305175781,15.9399995803833,66.2699966430664,82.12919938452677,83.52999877929688,16.249000549316406,63.619998931884766,79.63114086518866,81.06666564941406,15.619999885559082,66.19999694824219,80.7243423461914,83.18499755859375,16.010000228881836,5890500,2870400,8197200,35624900
2022-01-18,64.05999755859375,79.64072196213353,81.60333251953125,15.449999809265137,65.0999984741211,80.69556445963052,86.66666412353516,15.75,62.869998931884766,78.32695912265595,81.57666778564453,14.920000076293945,63.029998779296875,80.44623565673828,83.72833251953125,14.970000267028809,6494600,2640500,9919800,49067700
2022-01-19,63.41999816894531,80.74350982493735,84.0616683959961,14.899999618530273,63.61000061035156,80.973662872416,87.89833068847656,15.25,58.88999938964844,79.44893002672369,83.7683334350586,14.539999961853027,59.0099983215332,79.68866729736328,86.60166931152344,14.5600004196167,8193100,2632200,12321000,48049100
2022-01-20,59.43000030517578,80.16813599096245,86.80166625976562,14.890000343322754,59.779998779296875,80.6476104972675,89.4800033569336,15.550000190734863,55.40999984741211,78.48038368023262,86.51333618164062,14.569999694824219,55.540000915527344,78.83519744873047,86.61166381835938,14.619999885559082,8818800,3534500,10086600,44690400
2022-01-21,55.20000076293945,78.83520937057892,85.94166564941406,14.25,57.58000183105469,80.45583578815317,86.30166625976562,14.477999687194824,54.599998474121094,78.2214824949937,80.42666625976562,13.5,54.72999954223633,79.6982650756836,80.6050033569336,13.529999732971191,8791100,2844000,15534600,73031300
2022-01-24,53.150001525878906,78.3269651568264,79.086669921875,12.789999961853027,55.470001220703125,79.9284084465206,84.87833404541016,13.40999984741211,51.02000045776367,76.85018262008164,75.95999908447266,11.75,55.34000015258789,79.81333923339844,84.03500366210938,13.399999618530273,10170400,4451900,17531400,110518900
2022-01-25,53.27000045776367,78.37491574545949,83.17333221435547,13.119999885559082,55.41999816894531,80.19691324255389,83.28666687011719,13.600000381469727,52.970001220703125,77.59816197384006,79.19000244140625,12.829999923706055,53.31999969482422,79.56401062011719,79.24500274658203,13.0600004196167,8274200,4027200,11380800,47456600
2022-01-26,56.060001373291016,80.13937141845061,80.66666412353516,13.600000381469727,58.619998931884766,81.14627084243777,83.46499633789062,13.819999694824219,54.7400016784668,77.67487266481977,78.83333587646484,12.680000305175781,55.7599983215332,78.17352294921875,79.37333679199219,12.75,11956500,3633100,11527800,69949700
