Date,Open,High,Low,Close,Volume
2022-01-03,138.01856131062644,139.0071559527659,136.28852417871835,136.49905395507812,946900
2022-01-04,136.846898922139,138.50370529638778,136.10545642027907,137.01165771484375,1794600
2022-01-05,137.17644113127957,137.9361948804642,132.60877002498106,132.654541015625,1409700
2022-01-06,132.74609332595588,133.03900254764704,130.35699268883553,131.6476593017578,682600
2022-01-07,131.81239589318568,131.81239589318568,129.917585997896,129.95420837402344,1601900
2022-01-10,128.99305070045457,129.33173079930805,125.75266935379894,128.69097900390625,2062400
2022-01-11,129.0571372351655,133.94517619795457,128.83744491186837,133.78956604003906,1030100
2022-01-12,134.7782018945161,136.22447870676112,132.87424307715605,133.72552490234375,1023200
2022-01-13,134.63171321677956,135.3090874763267,133.31358707244104,133.5332794189453,1108000
2022-01-14,132.22429782091248,133.8261844673311,130.80548114061597,133.4508819580078,925900
2022-01-18,132.28835722583324,132.72772786238434,128.22414042754846,129.2676544189453,1818700
2022-01-19,130.31120020294,130.87872132891835,127.47356663836001,127.58341979980469,1204800
2022-01-20,127.59254803567967,133.32271987952768,126.61311612087997,129.0662841796875,3723300
2022-01-21,129.35006119507977,131.62015959337393,126.97927221631504,127.50102233886719,1253400
2022-01-24,124.81902487402515,125.40485722499555,119.89436250760996,125.05701446533203,2030300
2022-01-25,122.54892688914379,123.84874198805358,120.71819903704349,122.68622589111328,1601200
2022-01-26,124.98377048209046,125.69776711533069,120.71818567406089,121.95391845703125,1354900
2022-01-27,123.55581656179818,124.49864027095404,119.86690112484587,120.79142761230469,1041700
2022-01-28,120.67240446536563,120.937853806414,117.50523975453038,119.64720153808594,2261500
2022-01-31,119.25361025008655,121.09348669903474,118.5945471110181,120.75480651855469,2591700
2022-02-01,121.02026043316877,123.36358964817892,120.90125866343433,122.75029754638672,1477100
2022-02-02,122.42991816015598,122.91505989603858,121.32232172687,122.10953521728516,2270000
2022-02-03,121.12095545341576,121.3589450342616,117.92633048008166,118.07279205322266,886600
2022-02-04,116.44343350123428,117.65171349331138,114.77747158816327,116.34274291992188,1898000
2022-02-07,116.50751108117777,118.07278942872263,115.79352838716616,117.13911437988281,2237600
2022-02-08,117.39542821900741,118.41148277632189,116.89197524604157,118.00872039794922,1807600
2022-02-09,119.2902297334964,123.38189350217344,119.09799716953968,121.37725830078125,2426000
2022-02-10,122.00882434532446,131.02516259289524,120.42524901730744,124.85560607910156,3659900
2022-02-11,124.21489916903622,127.40952474149,122.43909067186378,122.51232147216797,1974300
2022-02-14,122.21938715248353,122.5306075143874,119.30852279907832,120.47103881835938,1254500
2022-02-15,121.69760011790787,123.86702156680924,121.6884515092263,123.81208801269531,1251400
2022-02-16,123.81212909238661,126.04561947779293,122.81438568873504,125.84423828125,1530300
2022-02-17,124.48947857556895,125.47807316975026,123.65649415352591,124.2148666381836,1816500
2022-02-18,124.38879518272391,124.58102774020094,122.63129823621694,123.38188934326172,1330300
2022-02-22,123.80298629686867,123.9311367036577,121.30404638080931,122.42079162597656,2811400
2022-02-23,123.4185060853897,124.75492944692726,121.47793924775476,122.10037994384766,1496700
2022-02-24,119.65637407784027,124.25150491848173,118.9881623196246,124.19657135009766,1736600
2022-02-25,124.46203114099082,128.26078575555292,124.1324995768657,127.74818420410156,1518900
2022-02-28,126.43004349811717,126.94264499098414,121.56031534853794,121.7433853149414,3178900
2022-03-01,121.74338665017008,122.10037797714226,116.67227030805472,117.5418701171875,1631100
2022-03-02,119.32682960779546,119.78451152344867,117.05672423334,118.74099731445312,1524900
2022-03-03,119.78450870268058,120.07741785878233,113.88956353311065,116.2786636352539,1317200
2022-03-04,114.63101442967898,115.5921422519706,112.97420116400569,113.04743194580078,1716700
2022-03-07,112.4982338195988,112.78199441680954,106.04491500838193,106.31037139892578,2627400
2022-03-08,106.64903988373547,110.48440951403029,103.80225786459168,109.57820129394531,3020300
2022-03-09,111.72930269151419,112.52567170805993,109.13882845673689,110.59425354003906,2257600
2022-03-10,109.24867026863411,111.15262868592995,108.06785010551327,110.96955871582031,1564400
2022-03-11,111.61030465757574,113.00165451394028,108.06784435666044,108.14107513427734,1331600
2022-03-14,109.35851628112805,110.20064931627678,106.36527269013938,106.64904022216797,1844700
2022-03-15,106.83211718263559,110.62172307245179,106.83211718263559,110.28304290771484,1609200
2022-03-16,111.51877840788141,114.78662704039965,110.95125031242722,114.40217590332031,1741700
2022-03-17,113.32205044198042,117.04758113136893,112.62637194202178,115.84844970703125,1403300
2022-03-18,115.76607170579801,118.73185572278598,114.89647182445061,118.20094299316406,2634600
2022-03-21,118.03616848134529,118.5121616055627,114.81409072525567,115.85760498046875,1507600
2022-03-22,116.44344086527371,117.70664053298151,115.85760852804641,116.7638168334961,1641600
2022-03-23,116.49835585968844,117.02926857671302,114.77747431006317,115.45484161376953,851700
2022-03-24,114.73635381338725,118.12613143616147,113.99023813987759,117.88663482666016,1573100
2022-03-25,118.05244321477848,119.31439129651154,117.15894281876392,119.28675842285156,1271700
2022-03-28,119.38809134838108,120.1802665736323,116.92866704629837,120.07894134521484,1486300
2022-03-29,121.24878788911688,123.8648032412802,121.15666893156174,123.57925415039062,1140100
2022-03-30,123.12786471644759,123.43184033825412,120.17103521816131,120.86188507080078,711400
2022-03-31,120.7605706632468,121.99488580372483,119.94996893260331,120.97242736816406,1406500
2022-04-01,121.67248115465198,123.9384750136242,121.23954742572386,123.73582458496094,1258600
2022-04-04,123.92925479411382,123.95690172111672,120.3000017852954,120.52106475830078,1028700
2022-04-05,119.80259245291973,121.15665950239703,119.07490334423376,119.19464111328125,894400
2022-04-06,118.11693175860673,118.65119081640252,114.41397858868062,115.60224151611328,2720700
2022-04-07,114.56133238310949,116.97469673812869,112.90328990221306,115.97066497802734,2443500
2022-04-08,115.94304180775217,116.89180790709345,112.90329934770003,114.46922302246094,2496900
2022-04-11,113.95339165348614,117.34316223924372,113.87969930804407,115.7588119506836,1814000
2022-04-12,116.09962499493338,116.77204827008069,114.1836663245104,114.6166000366211,852800
2022-04-13,114.43239858816199,117.7392639247684,114.37712580861046,117.53661346435547,1209800
2022-04-14,118.26431178165609,118.82620369467556,115.2982612316687,115.53775787353516,1745500
2022-04-18,115.24297657988261,115.78644180103232,112.67301407810507,113.0506820678711,1342200
2022-04-19,113.20729077308174,115.66671514511269,112.78357027296211,114.71794891357422,1309600
2022-04-20,114.64425431045053,116.04438091857232,114.63504100932496,115.27983856201172,1115900
2022-04-21,116.84575316175633,117.67477450509917,114.78241661763906,115.00348663330078,1477600
2022-04-22,114.2757911879622,115.85092823579674,114.2757911879622,114.78241729736328,1917500
2022-04-25,114.469233505279,114.469233505279,111.15315499007284,113.36387634277344,1188300
2022-04-26,113.79681053641058,114.26659049464018,110.20438920369894,110.37019348144531,1316100
2022-04-27,111.13474065728408,114.92980558117219,111.13474065728408,113.5296859741211,1516100
2022-04-28,114.22053162319165,115.81409535818247,112.57170213788896,115.29825592041016,1380400
2022-04-29,115.27061544250567,115.9522520862558,111.3650123929978,111.73346710205078,837200
2022-05-02,112.08349532576653,113.20727902707453,110.36097360009242,111.98217010498047,1282000
2022-05-03,112.82961333239359,114.13762792910077,111.77952195696348,112.28614807128906,867800
2022-05-04,112.55327606861294,116.72600864091301,112.30456615118273,116.51414489746094,947900
2022-05-05,114.73635599841866,116.23780770184825,112.12955422771056,113.06910705566406,999900
2022-05-06,112.58092039931624,113.05990665439946,110.25966039628652,112.51644134521484,1427800
2022-05-09,110.7478592137653,112.24009065480286,109.68855451836784,110.06621551513672,1874900
