Date,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume
2022-01-03,129.8523087169262,62.777017710008664,60.6651965944221,109.36333775782529,164.5931876090849,129.07000732421875,133.83853077238976,63.4099893849502,60.6651965944221,110.24544835970292,164.5931876090849,129.50999450683594,129.67515063461073,62.03069077559247,59.07622526833299,107.45510256093667,159.40070280424985,126.43000030517578,132.8247528076172,63.1076774597168,59.92841339111328,107.68013000488281,160.10316467285156,128.33999633789062,2033900,6685500,1579400,1009700,1307200,1765700
2022-01-04,132.20468430665144,63.457224574701215,59.93728012244506,108.67026301495382,161.0239503748134,128.3699951171875,134.15349830169524,63.69340600355541,60.37225639563074,110.65950491915906,163.5394987648276,129.52999877929688,131.6731800235109,60.8781274079171,59.120600757727196,107.89616801022144,160.274022336899,126.94000244140625,133.6219940185547,61.539432525634766,59.1827392578125,109.9574203491211,162.7611083984375,127.88999938964844,2110800,7527300,2403900,1943900,2065400,2020300
2022-01-05,134.15348462478275,61.28436203141955,59.00520538114003,110.75851822626795,163.16928419859704,127.55000305175781,135.31489420470524,62.606972316008246,59.0762227481561,112.36071263788907,164.1375392896898,128.36000061035156,131.5255348794714,60.89702101401466,57.78905836819819,109.64237708356912,160.2645334099641,123.91999816894531,131.69285583496094,60.92536163330078,57.87782669067383,109.93941497802734,160.43539428710938,123.91999816894531,2531600,7440700,3346000,1266900,1718600,2201700
2022-01-06,131.1810502277809,60.59470306119395,57.81568892701595,110.74051953011,160.3310048908056,124.3499984741211,131.8601862253231,63.75953257049359,58.268416181796646,111.28958711666827,162.077665157041,125.4000015258789,127.38183850371499,60.5380218282351,57.21205484483801,109.08432061591643,159.85637194028854,122.97000122070312,127.64759063720703,63.11711883544922,57.36296844482422,109.94842529296875,160.8151397705078,123.2300033569336,2270700,8218400,2482700,1034600,1433800,2602100
2022-01-07,127.05705699905455,63.0415386250003,57.19430378641118,110.11943505911576,160.9005725159265,122.16000366210938,130.38383277746968,63.60837250898685,58.29504589690343,110.88453392063134,162.21056411309056,123.80999755859375,125.27556370372247,62.616407806247466,56.70607123483989,109.66938013695042,159.29631080279623,121.0199966430664,129.70469665527344,62.654197692871094,57.70029067993164,110.18244934082031,159.33428955078125,122.30000305175781,2436000,5000900,3703200,970500,2079800,2172000
2022-01-10,129.34050677042873,62.08737829924061,57.70029572621399,109.84040228028202,158.0622218159935,120.52999877929688,130.08853258214435,62.66366159130079,58.312808724997836,110.33546543741376,158.43243484865434,121.22000122070312,126.13183693242567,60.197926773190375,57.354094493663865,107.06806233493042,154.54045428459213,117.72000122070312,126.87002563476562,61.00094223022461,58.2684211730957,107.68914031982422,157.97679138183594,120.12000274658203,3053200,6684000,2701400,1349300,1896400,2652600
2022-01-11,125.56099121408715,61.010391708704354,58.25066770449592,108.55324010422821,158.527373091503,120.5999984741211,128.89761144260487,62.84315479383597,58.43708322378667,109.29132986280104,159.50511561108016,122.19000244140625,125.54130948381845,60.52857954980883,57.02564175974342,107.31109105705718,156.29659288587825,118.54000091552734,128.74012756347656,62.75813293457031,57.13216781616211,109.27333068847656,159.24880981445312,121.94000244140625,1797200,3811100,1768000,1136600,1075600,2389400
2022-01-12,129.17319364829058,63.17380464222451,56.812595522849165,110.29946487043689,160.58728176587832,121.19000244140625,130.81689212314853,63.28716710341585,57.54938549645751,110.90253683833889,163.27370551926558,123.7699966430664,127.92318983120528,60.32072924083487,56.608425664044276,109.62438246440807,160.141125714118,121.19000244140625,130.41334533691406,60.76475143432617,57.194305419921875,110.614501953125,162.7611083984375,122.26000213623047,1677700,5426000,2093600,1993300,1983400,2006900
2022-01-13,130.93497794422015,61.16153659131153,57.07890621249599,111.4335995789962,162.83705182515922,122.56999969482422,130.93497794422015,61.63389941653136,57.45173723826363,115.21405811394274,163.5490011876916,122.9000015258789,128.45465991925025,59.67831760842866,56.74157709839181,111.19056607947802,161.72641255776634,120.05000305175781,128.7794647216797,59.7822380065918,56.874732971191406,113.8368911743164,162.4953155517578,120.45999908447266,1343500,4416900,2874800,1782200,1336100,1696000
2022-01-14,127.99209350374342,59.67831875305963,56.661688909404816,112.40571519244278,160.36894737652815,119.44000244140625,128.69091886825737,60.311286824992564,57.034519943536495,115.2050573652817,162.99841738353325,120.20999908447266,126.69288897755638,59.17761530195267,55.880514769797784,111.76663802531108,159.09693483307825,116.69999694824219,128.38580322265625,59.94284439086914,56.59067153930664,114.80001068115234,162.2484893798828,118.26000213623047,1633400,6253100,2617700,1684300,2824600,2112800
