         158466868 function calls (144925742 primitive calls) in 151.288 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      112    0.022    0.000  600.865    5.365 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\_base.py:199(as_completed)
  212/200    0.032    0.000  449.266    2.246 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:641(wait)
  317/301    0.022    0.000  373.969    1.242 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:327(wait)
 1006/176    0.100    0.000  293.435    1.667 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\main.py:269(fetch_ticker_data)
 1007/177    0.106    0.000  266.738    1.507 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\main.py:108(exponential_backoff_fetch)
565065/184984    2.490    0.000  244.056    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:1505(iterrows)
      101    0.001    0.000  230.810    2.285 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:1056(join)
      101    0.002    0.000  230.808    2.285 {method 'join' of '_thread._ThreadHandle' objects}
 1014/185    0.089    0.000  184.102    0.995 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\main.py:73(call)
  503/388    0.035    0.000  180.560    0.465 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:1643(__exit__)
580785/238177    6.800    0.000  170.908    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:389(__init__)
  503/140    0.063    0.000  161.829    1.156 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\main.py:198(read_ticker_data_from_db)
 1018/194    0.095    0.000  154.356    0.796 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:2172(warning)
   1953/7    0.007    0.000  149.405   21.344 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
    923/3    0.036    0.000  149.396   49.799 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:358(_get_layout)
  503/143    0.071    0.000  145.459    1.017 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:570(read_sql)
        1    0.001    0.001  142.855  142.855 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\main.py:300(fetch_and_write_all_tickers)
       11    0.000    0.000  142.841   12.986 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\_base.py:646(__exit__)
       11    0.000    0.000  142.841   12.986 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\thread.py:220(shutdown)
   113/11    0.001    0.000  142.838   12.985 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:998(_bootstrap)
   113/11    0.005    0.000  141.904   12.900 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:1025(_bootstrap_inner)
   113/11    0.003    0.000  141.900   12.900 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\threading.py:981(run)
  503/388    0.034    0.000  140.267    0.362 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:625(close)
5645970/2473510   10.800    0.000  138.351    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\series.py:1095(__getitem__)
   101/11    0.018    0.000  128.917   11.720 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\thread.py:54(run)
   101/11    0.002    0.000  126.088   11.463 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\thread.py:70(_worker)
   101/11    0.005    0.000  126.088   11.463 {method 'get' of '_queue.SimpleQueue' objects}
 1018/194    0.145    0.000  113.884    0.587 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1521(warning)
  517/402    0.046    0.000  108.980    0.271 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:571(__exit__)
  503/368    0.081    0.000   99.480    0.270 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:194(_wrap_result)
  503/262    0.056    0.000   95.493    0.364 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:1779(read_query)
  503/368    0.124    0.000   86.954    0.236 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:160(_convert_arrays_to_dataframe)
  503/388    0.042    0.000   83.487    0.215 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:234(__exit__)
 1078/223    0.156    0.000   82.546    0.370 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1640(_log)
 1078/223    0.207    0.000   79.675    0.357 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1666(handle)
  503/371    0.037    0.000   79.341    0.214 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:2037(has_table)
  580/495    0.052    0.000   74.749    0.151 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:694(__init__)
  503/371    0.038    0.000   72.984    0.197 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\reflection.py:410(has_table)
 1894/620    0.037    0.000   67.542    0.109 {method 'acquire' of '_thread.lock' objects}
     1078    0.202    0.000   65.710    0.061 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\logging\__init__.py:1138(emit)
  503/380    0.046    0.000   57.915    0.152 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:1655(execute)
  503/388    0.036    0.000   56.087    0.145 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:1216(close)
  577/492    0.071    0.000   51.692    0.105 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\construction.py:423(dict_to_mgr)
