         230092493 function calls (224420069 primitive calls) in 272.603 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   12.505   12.505 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\db_helpers.py:291(batch_fetch_from_db)
  515/103    0.009    0.000   12.148    0.118 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\reflection.py:410(has_table)
  580/109    0.021    0.000   11.897    0.109 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
     3546    0.035    0.000   11.564    0.003 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:4027(take)
     2037    0.023    0.000   11.400    0.006 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:4142(_take_with_is_copy)
  515/143    0.010    0.000   11.372    0.080 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\engine\base.py:2707(_close_impl)
     3546    0.022    0.000   11.331    0.003 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\internals\managers.py:869(take)
   515/12    0.020    0.000   11.129    0.927 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\thread.py:54(run)
11658/11277    0.049    0.000   11.083    0.001 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:4514(_set_item)
  515/499    0.006    0.000   11.041    0.022 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlalchemy\pool\base.py:917(_finalize_fairy)
   503/11    0.033    0.000   10.776    0.980 C:\Users\haman\Dropbox\My PC (LAPTOP-QV7RR5UL)\Desktop\Phases\db_helpers.py:268(read_ticker_data_from_db)
   516/13    0.037    0.000   10.762    0.828 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\io\sql.py:570(read_sql)
   113/12    0.001    0.000   10.696    0.891 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\thread.py:70(_worker)
   113/12    0.004    0.000   10.696    0.891 {method 'get' of '_queue.SimpleQueue' objects}
25339/23794    0.051    0.000    9.988    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\ops\common.py:62(new_method)
  1254554    9.948    0.000    9.948    0.000 {method 'mogrify' of 'psycopg2.extensions.cursor' objects}
1279982/1279979    1.764    0.000    9.273    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\_config\config.py:145(_get_option)
  1356223    6.551    0.000    9.142    0.000 C:\Users\haman\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:6236(__finalize__)
  515/103    0.009    0.000    9.088    0.088 <string>:1(has_table)
