Date,NewHighCount,NewLowCount,NHNL_Diff,NHNL_Ratio
2022-04-11,13,28,-15,0.4642857142857143
2022-04-12,19,28,-9,0.6785714285714286
2022-04-13,38,10,28,3.8
2022-04-14,45,30,15,1.5
2022-04-18,36,22,14,1.6363636363636365
2022-04-19,55,0,55,
2022-04-20,102,4,98,25.5
2022-04-21,29,18,11,1.6111111111111112
2022-04-22,2,52,-50,0.038461538461538464
2022-04-25,7,9,-2,0.7777777777777778
2022-04-26,0,92,-92,0.0
2022-04-27,2,69,-67,0.028985507246376812
2022-04-28,10,18,-8,0.5555555555555556
2022-04-29,1,87,-86,0.011494252873563218
2022-05-02,1,27,-26,0.037037037037037035
2022-05-03,2,16,-14,0.125
2022-05-04,12,7,5,1.7142857142857142
2022-05-05,2,55,-53,0.03636363636363636
2022-05-06,9,91,-82,0.0989010989010989
2022-05-09,7,147,-140,0.047619047619047616
2022-05-10,0,100,-100,0.0
2022-05-11,1,152,-151,0.006578947368421052
2022-05-12,2,71,-69,0.028169014084507043
2022-05-13,5,3,2,1.6666666666666667
2022-05-16,4,15,-11,0.26666666666666666
2022-05-17,9,3,6,3.0
2022-05-18,1,87,-86,0.011494252873563218
2022-05-19,1,81,-80,0.012345679012345678
2022-05-20,1,47,-46,0.02127659574468085
2022-05-23,6,4,2,1.5
2022-05-24,7,45,-38,0.15555555555555556
2022-05-25,7,2,5,3.5
2022-05-26,11,3,8,3.6666666666666665
2022-05-27,22,2,20,11.0
2022-05-31,2,1,1,2.0
2022-06-01,14,2,12,7.0
2022-06-02,10,8,2,1.25
2022-06-03,12,10,2,1.2
2022-06-06,11,9,2,1.2222222222222223
2022-06-07,18,1,17,18.0
2022-06-08,1,11,-10,0.09090909090909091
2022-06-09,0,41,-41,0.0
2022-06-10,0,97,-97,0.0
2022-06-13,0,222,-222,0.0
2022-06-14,0,193,-193,0.0
2022-06-15,0,32,-32,0.0
2022-06-16,0,236,-236,0.0
2022-06-17,0,93,-93,0.0
2022-06-21,0,8,-8,0.0
2022-06-22,0,19,-19,0.0
2022-06-23,0,40,-40,0.0
2022-06-24,3,0,3,
2022-06-27,3,0,3,
2022-06-28,0,0,0,
2022-06-29,0,16,-16,0.0
2022-06-30,0,31,-31,0.0
2022-07-01,1,30,-29,0.03333333333333333
2022-07-05,1,22,-21,0.045454545454545456
2022-07-06,1,14,-13,0.07142857142857142
2022-07-07,4,0,4,
2022-07-08,3,4,-1,0.75
2022-07-11,1,19,-18,0.05263157894736842
2022-07-12,0,6,-6,0.0
2022-07-13,0,28,-28,0.0
2022-07-14,2,82,-80,0.024390243902439025
2022-07-15,3,4,-1,0.75
2022-07-18,2,12,-10,0.16666666666666666
2022-07-19,2,1,1,2.0
2022-07-20,1,1,0,1.0
2022-07-21,1,4,-3,0.25
2022-07-22,0,3,-3,0.0
2022-07-25,3,2,1,1.5
2022-07-26,3,5,-2,0.6
2022-07-27,6,0,6,
2022-07-28,12,2,10,6.0
2022-07-29,16,5,11,3.2
2022-08-01,15,4,11,3.75
2022-08-02,6,4,2,1.5
2022-08-03,18,5,13,3.6
2022-08-04,17,5,12,3.4
2022-08-05,20,1,19,20.0
2022-08-08,17,3,14,5.666666666666667
2022-08-09,13,4,9,3.25
2022-08-10,23,3,20,7.666666666666667
2022-08-11,15,0,15,
2022-08-12,40,0,40,
2022-08-15,44,0,44,
2022-08-16,24,0,24,
2022-08-17,14,0,14,
2022-08-18,25,0,25,
2022-08-19,10,1,9,10.0
2022-08-22,0,6,-6,0.0
2022-08-23,1,4,-3,0.25
2022-08-24,14,4,10,3.5
2022-08-25,24,0,24,
2022-08-26,7,11,-4,0.6363636363636364
2022-08-29,3,14,-11,0.21428571428571427
2022-08-30,2,24,-22,0.08333333333333333
2022-08-31,3,19,-16,0.15789473684210525
2022-09-01,3,16,-13,0.1875
2022-09-02,1,20,-19,0.05
2022-09-06,1,23,-22,0.043478260869565216
2022-09-07,9,0,9,
2022-09-08,10,9,1,1.1111111111111112
2022-09-09,9,0,9,
2022-09-12,16,0,16,
2022-09-13,0,20,-20,0.0
2022-09-14,4,23,-19,0.17391304347826086
2022-09-15,0,31,-31,0.0
2022-09-16,0,37,-37,0.0
2022-09-19,8,18,-10,0.4444444444444444
2022-09-20,3,60,-57,0.05
2022-09-21,1,96,-95,0.010416666666666666
2022-09-22,3,97,-94,0.030927835051546393
2022-09-23,0,121,-121,0.0
2022-09-26,0,181,-181,0.0
2022-09-27,0,135,-135,0.0
2022-09-28,1,2,-1,0.5
2022-09-29,0,88,-88,0.0
2022-09-30,0,121,-121,0.0
2022-10-03,1,0,1,
2022-10-04,11,0,11,
2022-10-05,11,9,2,1.2222222222222223
2022-10-06,2,38,-36,0.05263157894736842
2022-10-07,3,68,-65,0.04411764705882353
2022-10-10,4,75,-71,0.05333333333333334
2022-10-11,4,82,-78,0.04878048780487805
2022-10-12,0,89,-89,0.0
2022-10-13,12,4,8,3.0
2022-10-14,0,49,-49,0.0
2022-10-17,1,3,-2,0.3333333333333333
2022-10-18,7,1,6,7.0
2022-10-19,7,3,4,2.3333333333333335
2022-10-20,3,29,-26,0.10344827586206896
2022-10-21,17,4,13,4.25
2022-10-24,24,2,22,12.0
2022-10-25,22,0,22,
2022-10-26,25,1,24,25.0
2022-10-27,34,8,26,4.25
2022-10-28,51,1,50,51.0
2022-10-31,33,0,33,
2022-11-01,22,2,20,11.0
2022-11-02,3,13,-10,0.23076923076923078
2022-11-03,9,23,-14,0.391304347826087
2022-11-04,9,11,-2,0.8181818181818182
2022-11-07,19,9,10,2.111111111111111
2022-11-08,12,11,1,1.0909090909090908
2022-11-09,2,21,-19,0.09523809523809523
2022-11-10,26,0,26,
2022-11-11,6,0,6,
2022-11-14,4,2,2,2.0
2022-11-15,11,0,11,
2022-11-16,4,1,3,4.0
2022-11-17,9,0,9,
2022-11-18,13,0,13,
2022-11-21,18,1,17,18.0
2022-11-22,38,2,36,19.0
2022-11-23,35,2,33,17.5
2022-11-25,45,0,45,
2022-11-28,4,4,0,1.0
2022-11-29,11,0,11,
2022-11-30,44,1,43,44.0
2022-12-01,23,0,23,
2022-12-02,39,0,39,
2022-12-05,2,4,-2,0.5
2022-12-06,2,6,-4,0.3333333333333333
2022-12-07,4,7,-3,0.5714285714285714
2022-12-08,7,2,5,3.5
2022-12-09,0,0,0,
2022-12-12,7,1,6,7.0
2022-12-13,12,2,10,6.0
2022-12-14,6,2,4,3.0
2022-12-15,7,8,-1,0.875
2022-12-16,6,14,-8,0.42857142857142855
2022-12-19,0,19,-19,0.0
2022-12-20,8,10,-2,0.8
2022-12-21,11,5,6,2.2
2022-12-22,1,10,-9,0.1
2022-12-23,12,6,6,2.0
2022-12-27,17,4,13,4.25
2022-12-28,0,12,-12,0.0
2022-12-29,4,0,4,
2022-12-30,0,0,0,
2023-01-03,1,3,-2,0.3333333333333333
2023-01-04,8,0,8,
2023-01-05,5,6,-1,0.8333333333333334
2023-01-06,26,1,25,26.0
2023-01-09,4,0,4,
2023-01-10,5,0,5,
2023-01-11,15,0,15,
2023-01-12,16,0,16,
2023-01-13,20,0,20,
2023-01-17,14,0,14,
2023-01-18,5,0,5,
2023-01-19,0,1,-1,0.0
2023-01-20,6,0,6,
2023-01-23,17,0,17,
2023-01-24,17,1,16,17.0
2023-01-25,18,1,17,18.0
2023-01-26,12,0,12,
2023-01-27,11,0,11,
2023-01-30,2,0,2,
2023-01-31,21,0,21,
2023-02-01,30,0,30,
2023-02-02,52,2,50,26.0
2023-02-03,22,2,20,11.0
2023-02-06,9,3,6,3.0
2023-02-07,20,2,18,10.0
2023-02-08,5,2,3,2.5
2023-02-09,5,0,5,
2023-02-10,3,0,3,
2023-02-13,21,0,21,
2023-02-14,24,0,24,
2023-02-15,32,0,32,
2023-02-16,4,3,1,1.3333333333333333
2023-02-17,12,0,12,
2023-02-21,1,3,-2,0.3333333333333333
2023-02-22,1,0,1,
2023-02-23,9,8,1,1.125
2023-02-24,14,10,4,1.4
2023-02-27,16,5,11,3.2
2023-02-28,22,11,11,2.0
2023-03-01,27,5,22,5.4
2023-03-02,27,5,22,5.4
2023-03-03,48,1,47,48.0
2023-03-06,24,3,21,8.0
2023-03-07,5,10,-5,0.5
2023-03-08,6,4,2,1.5
2023-03-09,1,12,-11,0.08333333333333333
2023-03-10,0,34,-34,0.0
2023-03-13,0,32,-32,0.0
2023-03-14,1,17,-16,0.058823529411764705
2023-03-15,1,31,-30,0.03225806451612903
2023-03-16,4,3,1,1.3333333333333333
2023-03-17,2,30,-28,0.06666666666666667
2023-03-20,2,2,0,1.0
2023-03-21,4,1,3,4.0
2023-03-22,0,23,-23,0.0
2023-03-23,3,37,-34,0.08108108108108109
2023-03-24,7,6,1,1.1666666666666667
2023-03-27,8,0,8,
2023-03-28,5,0,5,
2023-03-29,11,0,11,
2023-03-30,8,0,8,
2023-03-31,30,0,30,
2023-04-03,17,0,17,
2023-04-04,4,1,3,4.0
2023-04-05,4,1,3,4.0
2023-04-06,5,0,5,
2023-04-10,7,0,7,
2023-04-11,11,0,11,
2023-04-12,11,0,11,
2023-04-13,26,0,26,
2023-04-14,17,0,17,
2023-04-17,28,0,28,
2023-04-18,43,0,43,
2023-04-19,16,3,13,5.333333333333333
2023-04-20,29,4,25,7.25
2023-04-21,20,2,18,10.0
2023-04-24,40,3,37,13.333333333333334
2023-04-25,22,8,14,2.75
2023-04-26,5,2,3,2.5
2023-04-27,25,1,24,25.0
2023-04-28,35,1,34,35.0
2023-05-01,34,1,33,34.0
2023-05-02,27,16,11,1.6875
2023-05-03,19,15,4,1.2666666666666666
2023-05-04,7,32,-25,0.21875
2023-05-05,18,2,16,9.0
2023-05-08,29,15,14,1.9333333333333333
2023-05-09,20,8,12,2.5
2023-05-10,30,11,19,2.727272727272727
2023-05-11,25,29,-4,0.8620689655172413
2023-05-12,20,19,1,1.0526315789473684
2023-05-15,21,3,18,7.0
2023-05-16,13,30,-17,0.43333333333333335
2023-05-17,24,6,18,4.0
2023-05-18,42,1,41,42.0
2023-05-19,13,10,3,1.3
2023-05-22,9,0,9,
2023-05-23,1,6,-5,0.16666666666666666
2023-05-24,0,19,-19,0.0
2023-05-25,10,31,-21,0.3225806451612903
2023-05-26,15,10,5,1.5
2023-05-30,10,18,-8,0.5555555555555556
2023-05-31,2,20,-18,0.1
2023-06-01,8,14,-6,0.5714285714285714
2023-06-02,12,0,12,
2023-06-05,13,6,7,2.1666666666666665
2023-06-06,29,3,26,9.666666666666666
2023-06-07,25,5,20,5.0
2023-06-08,19,2,17,9.5
2023-06-09,18,8,10,2.25
2023-06-12,40,3,37,13.333333333333334
2023-06-13,65,0,65,
2023-06-14,38,3,35,12.666666666666666
2023-06-15,74,0,74,
2023-06-16,31,0,31,
2023-06-20,23,0,23,
2023-06-21,32,0,32,
2023-06-22,24,1,23,24.0
2023-06-23,15,10,5,1.5
2023-06-26,16,0,16,
2023-06-27,56,0,56,
2023-06-28,30,3,27,10.0
2023-06-29,75,0,75,
2023-06-30,90,0,90,
2023-07-03,51,0,51,
2023-07-05,19,0,19,
2023-07-06,1,0,1,
2023-07-07,6,2,4,3.0
2023-07-10,37,1,36,37.0
2023-07-11,66,0,66,
2023-07-12,80,5,75,16.0
2023-07-13,85,3,82,28.333333333333332
2023-07-14,53,4,49,13.25
2023-07-17,88,3,85,29.333333333333332
2023-07-18,93,3,90,31.0
2023-07-19,44,0,44,
2023-07-20,40,3,37,13.333333333333334
2023-07-21,36,3,33,12.0
2023-07-24,33,0,33,
2023-07-25,54,4,50,13.5
2023-07-26,31,0,31,
2023-07-27,21,0,21,
2023-07-28,46,4,42,11.5
2023-07-31,45,1,44,45.0
2023-08-01,37,1,36,37.0
2023-08-02,7,2,5,3.5
2023-08-03,20,3,17,6.666666666666667
2023-08-04,22,6,16,3.6666666666666665
2023-08-07,46,4,42,11.5
2023-08-08,31,6,25,5.166666666666667
2023-08-09,24,3,21,8.0
2023-08-10,17,8,9,2.125
2023-08-11,19,0,19,
2023-08-14,11,9,2,1.2222222222222223
2023-08-15,4,15,-11,0.26666666666666666
2023-08-16,0,8,-8,0.0
2023-08-17,0,9,-9,0.0
2023-08-18,0,2,-2,0.0
2023-08-21,3,12,-9,0.25
2023-08-22,2,17,-15,0.11764705882352941
2023-08-23,8,6,2,1.3333333333333333
2023-08-24,0,5,-5,0.0
2023-08-25,7,3,4,2.3333333333333335
2023-08-28,18,1,17,18.0
2023-08-29,37,0,37,
2023-08-30,32,0,32,
2023-08-31,29,9,20,3.2222222222222223
2023-09-01,40,12,28,3.3333333333333335
2023-09-05,9,12,-3,0.75
2023-09-06,9,14,-5,0.6428571428571429
2023-09-07,18,15,3,1.2
2023-09-08,11,11,0,1.0
2023-09-11,23,11,12,2.090909090909091
2023-09-12,6,10,-4,0.6
2023-09-13,9,12,-3,0.75
2023-09-14,24,4,20,6.0
2023-09-15,1,5,-4,0.2
2023-09-18,12,11,1,1.0909090909090908
2023-09-19,10,4,6,2.5
2023-09-20,15,3,12,5.0
2023-09-21,1,27,-26,0.037037037037037035
2023-09-22,1,45,-44,0.022222222222222223
2023-09-25,3,30,-27,0.1
2023-09-26,0,45,-45,0.0
2023-09-27,1,40,-39,0.025
2023-09-28,4,10,-6,0.4
2023-09-29,2,5,-3,0.4
2023-10-02,3,41,-38,0.07317073170731707
2023-10-03,1,39,-38,0.02564102564102564
2023-10-04,6,18,-12,0.3333333333333333
2023-10-05,3,30,-27,0.1
2023-10-06,9,23,-14,0.391304347826087
2023-10-09,12,20,-8,0.6
2023-10-10,14,1,13,14.0
2023-10-11,32,18,14,1.7777777777777777
2023-10-12,21,43,-22,0.4883720930232558
2023-10-13,13,12,1,1.0833333333333333
2023-10-16,23,0,23,
2023-10-17,30,0,30,
2023-10-18,5,30,-25,0.16666666666666666
2023-10-19,2,43,-41,0.046511627906976744
2023-10-20,0,44,-44,0.0
2023-10-23,1,39,-38,0.02564102564102564
2023-10-24,0,33,-33,0.0
2023-10-25,0,70,-70,0.0
2023-10-26,1,30,-29,0.03333333333333333
2023-10-27,0,65,-65,0.0
2023-10-30,0,23,-23,0.0
2023-10-31,7,14,-7,0.5
2023-11-01,10,19,-9,0.5263157894736842
2023-11-02,22,0,22,
2023-11-03,34,0,34,
2023-11-06,26,0,26,
2023-11-07,25,1,24,25.0
2023-11-08,23,5,18,4.6
2023-11-09,7,8,-1,0.875
2023-11-10,44,2,42,22.0
2023-11-13,34,7,27,4.857142857142857
2023-11-14,61,0,61,
2023-11-15,28,0,28,
2023-11-16,37,0,37,
2023-11-17,44,0,44,
2023-11-20,61,0,61,
2023-11-21,51,0,51,
2023-11-22,61,0,61,
2023-11-24,68,0,68,
2023-11-27,43,0,43,
2023-11-28,21,1,20,21.0
2023-11-29,26,1,25,26.0
2023-11-30,60,0,60,
2023-12-01,70,0,70,
2023-12-04,49,0,49,
2023-12-05,19,0,19,
2023-12-06,17,0,17,
2023-12-07,30,0,30,
2023-12-08,56,0,56,
2023-12-11,81,0,81,
2023-12-12,113,1,112,113.0
2023-12-13,131,0,131,
2023-12-14,93,0,93,
2023-12-15,53,2,51,26.5
2023-12-18,41,2,39,20.5
2023-12-19,58,0,58,
2023-12-20,2,0,2,
2023-12-21,34,0,34,
2023-12-22,40,0,40,
2023-12-26,57,0,57,
2023-12-27,54,0,54,
2023-12-28,43,0,43,
2023-12-29,12,0,12,
2024-01-02,19,0,19,
2024-01-03,12,0,12,
2024-01-04,13,0,13,
2024-01-05,23,0,23,
2024-01-08,25,0,25,
2024-01-09,19,0,19,
2024-01-10,31,0,31,
2024-01-11,39,0,39,
2024-01-12,44,0,44,
2024-01-16,21,1,20,21.0
2024-01-17,18,5,13,3.6
2024-01-18,49,5,44,9.8
2024-01-19,74,5,69,14.8
2024-01-22,83,4,79,20.75
2024-01-23,52,0,52,
2024-01-24,41,3,38,13.666666666666666
2024-01-25,64,3,61,21.333333333333332
2024-01-26,38,0,38,
2024-01-29,65,0,65,
2024-01-30,86,0,86,
2024-01-31,10,3,7,3.3333333333333335
2024-02-01,58,1,57,58.0
2024-02-02,59,1,58,59.0
2024-02-05,27,9,18,3.0
2024-02-06,36,1,35,36.0
2024-02-07,86,2,84,43.0
2024-02-08,69,8,61,8.625
2024-02-09,67,2,65,33.5
2024-02-12,40,0,40,
2024-02-13,11,2,9,5.5
2024-02-14,54,1,53,54.0
2024-02-15,91,0,91,
2024-02-16,40,2,38,20.0
2024-02-20,27,1,26,27.0
2024-02-21,56,0,56,
2024-02-22,124,1,123,124.0
2024-02-23,115,1,114,115.0
2024-02-26,66,2,64,33.0
2024-02-27,63,1,62,63.0
2024-02-28,78,0,78,
2024-02-29,58,1,57,58.0
2024-03-01,78,0,78,
2024-03-04,95,4,91,23.75
2024-03-05,50,2,48,25.0
2024-03-06,75,3,72,25.0
2024-03-07,82,0,82,
2024-03-08,30,1,29,30.0
2024-03-11,33,0,33,
2024-03-12,70,0,70,
2024-03-13,71,0,71,
2024-03-14,36,1,35,36.0
2024-03-15,36,1,35,36.0
2024-03-18,47,2,45,23.5
2024-03-19,69,1,68,69.0
2024-03-20,96,2,94,48.0
2024-03-21,120,1,119,120.0
2024-03-22,26,2,24,13.0
2024-03-25,30,3,27,10.0
2024-03-26,27,2,25,13.5
2024-03-27,100,0,100,
2024-03-28,106,0,106,
2024-04-01,26,1,25,26.0
2024-04-02,27,2,25,13.5
2024-04-03,43,3,40,14.333333333333334
2024-04-04,11,5,6,2.2
2024-04-05,41,4,37,10.25
2024-04-08,22,2,20,11.0
2024-04-09,25,0,25,
2024-04-10,6,4,2,1.5
2024-04-11,11,5,6,2.2
2024-04-12,0,8,-8,0.0
2024-04-15,1,6,-5,0.16666666666666666
2024-04-16,1,4,-3,0.25
2024-04-17,0,3,-3,0.0
2024-04-18,3,3,0,1.0
2024-04-19,6,4,2,1.5
2024-04-22,13,5,8,2.6
2024-04-23,22,4,18,5.5
2024-04-24,24,2,22,12.0
2024-04-25,33,3,30,11.0
2024-04-26,25,6,19,4.166666666666667
2024-04-29,34,2,32,17.0
2024-04-30,9,9,0,1.0
2024-05-01,18,2,16,9.0
2024-05-02,25,4,21,6.25
2024-05-03,34,2,32,17.0
2024-05-06,65,1,64,65.0
2024-05-07,60,0,60,
2024-05-08,60,1,59,60.0
2024-05-09,82,1,81,82.0
2024-05-10,80,0,80,
2024-05-13,31,0,31,
2024-05-14,57,0,57,
2024-05-15,111,0,111,
2024-05-16,47,0,47,
2024-05-17,82,0,82,
2024-05-20,48,1,47,48.0
2024-05-21,66,1,65,66.0
2024-05-22,57,2,55,28.5
2024-05-23,8,5,3,1.6
2024-05-24,40,7,33,5.714285714285714
2024-05-28,17,8,9,2.125
2024-05-29,3,8,-5,0.375
2024-05-30,18,11,7,1.6363636363636365
2024-05-31,40,9,31,4.444444444444445
2024-06-03,32,6,26,5.333333333333333
2024-06-04,28,1,27,28.0
2024-06-05,36,6,30,6.0
2024-06-06,12,2,10,6.0
2024-06-07,6,2,4,3.0
2024-06-10,26,0,26,
2024-06-11,18,2,16,9.0
2024-06-12,28,2,26,14.0
2024-06-13,14,6,8,2.3333333333333335
2024-06-14,8,5,3,1.6
2024-06-17,40,5,35,8.0
2024-06-18,49,9,40,5.444444444444445
2024-06-20,17,0,17,
2024-06-21,20,1,19,20.0
2024-06-24,36,0,36,
2024-06-25,21,4,17,5.25
2024-06-26,6,0,6,
2024-06-27,6,0,6,
2024-06-28,12,0,12,
2024-07-01,12,3,9,4.0
2024-07-02,27,1,26,27.0
2024-07-03,11,1,10,11.0
2024-07-05,25,1,24,25.0
2024-07-08,14,5,9,2.8
2024-07-09,27,12,15,2.25
2024-07-10,39,4,35,9.75
2024-07-11,46,0,46,
2024-07-12,61,0,61,
2024-07-15,67,3,64,22.333333333333332
2024-07-16,129,0,129,
2024-07-17,94,0,94,
2024-07-18,28,1,27,28.0
2024-07-19,21,1,20,21.0
2024-07-22,55,0,55,
2024-07-23,45,0,45,
2024-07-24,17,2,15,8.5
2024-07-25,30,6,24,5.0
2024-07-26,75,2,73,37.5
2024-07-29,72,0,72,
2024-07-30,105,0,105,
2024-07-31,47,0,47,
2024-08-01,56,2,54,28.0
2024-08-02,57,6,51,9.5
2024-08-05,2,12,-10,0.16666666666666666
2024-08-06,21,1,20,21.0
2024-08-07,11,7,4,1.5714285714285714
2024-08-08,33,2,31,16.5
2024-08-09,42,0,42,
2024-08-12,17,2,15,8.5
2024-08-13,52,0,52,
2024-08-14,58,0,58,
2024-08-15,45,0,45,
2024-08-16,55,0,55,
2024-08-19,72,0,72,
2024-08-20,50,0,50,
2024-08-21,83,1,82,83.0
2024-08-22,82,0,82,
2024-08-23,115,0,115,
2024-08-26,100,0,100,
2024-08-27,85,0,85,
2024-08-28,79,1,78,79.0
2024-08-29,92,3,89,30.666666666666668
2024-08-30,163,3,160,54.333333333333336
2024-09-03,91,2,89,45.5
2024-09-04,89,5,84,17.8
2024-09-05,27,6,21,4.5
2024-09-06,20,6,14,3.3333333333333335
2024-09-09,52,1,51,52.0
2024-09-10,58,3,55,19.333333333333332
2024-09-11,30,5,25,6.0
2024-09-12,41,0,41,
2024-09-13,86,3,83,28.666666666666668
2024-09-16,100,1,99,100.0
2024-09-17,57,0,57,
2024-09-18,31,1,30,31.0
2024-09-19,68,1,67,68.0
2024-09-20,45,1,44,45.0
2024-09-23,81,0,81,
2024-09-24,64,0,64,
2024-09-25,27,2,25,13.5
2024-09-26,41,5,36,8.2
2024-09-27,40,0,40,
2024-09-30,65,1,64,65.0
2024-10-01,53,0,53,
2024-10-02,37,1,36,37.0
2024-10-03,25,2,23,12.5
2024-10-04,57,0,57,
2024-10-07,18,1,17,18.0
2024-10-08,32,1,31,32.0
2024-10-09,62,1,61,62.0
2024-10-10,23,1,22,23.0
2024-10-11,73,0,73,
2024-10-14,102,3,99,34.0
2024-10-15,59,0,59,
2024-10-16,112,0,112,
2024-10-17,78,2,76,39.0
2024-10-18,84,4,80,21.0
2024-10-21,13,4,9,3.25
2024-10-22,27,6,21,4.5
2024-10-23,30,8,22,3.75
2024-10-24,34,0,34,
2024-10-25,9,1,8,9.0
2024-10-28,27,0,27,
2024-10-29,27,4,23,6.75
2024-10-30,34,6,28,5.666666666666667
2024-10-31,18,9,9,2.0
2024-11-01,17,4,13,4.25
2024-11-04,30,1,29,30.0
2024-11-05,59,1,58,59.0
2024-11-06,130,4,126,32.5
2024-11-07,62,1,61,62.0
2024-11-08,97,6,91,16.166666666666668
2024-11-11,114,7,107,16.285714285714285
2024-11-12,55,11,44,5.0
2024-11-13,39,9,30,4.333333333333333
2024-11-14,16,8,8,2.0
2024-11-15,20,26,-6,0.7692307692307693
2024-11-18,37,13,24,2.8461538461538463
2024-11-19,21,14,7,1.5
2024-11-20,26,7,19,3.7142857142857144
2024-11-21,82,2,80,41.0
2024-11-22,88,2,86,44.0
2024-11-25,88,0,88,
2024-11-26,102,1,101,102.0
2024-11-27,66,0,66,
2024-11-29,39,0,39,
2024-12-02,35,1,34,35.0
2024-12-03,20,1,19,20.0
2024-12-04,44,6,38,7.333333333333333
2024-12-05,42,6,36,7.0
2024-12-06,28,8,20,3.5
2024-12-09,16,1,15,16.0
2024-12-10,16,3,13,5.333333333333333
2024-12-11,18,2,16,9.0
2024-12-12,19,8,11,2.375
2024-12-13,7,6,1,1.1666666666666667
2024-12-16,20,15,5,1.3333333333333333
2024-12-17,11,14,-3,0.7857142857142857
2024-12-18,2,33,-31,0.06060606060606061
2024-12-19,0,36,-36,0.0
2024-12-20,3,11,-8,0.2727272727272727
2024-12-23,2,5,-3,0.4
2024-12-24,11,3,8,3.6666666666666665
2024-12-26,9,2,7,4.5
2024-12-27,0,3,-3,0.0
2024-12-30,0,6,-6,0.0
2024-12-31,1,0,1,
2025-01-02,1,13,-12,0.07692307692307693
2025-01-03,3,8,-5,0.375
2025-01-06,7,11,-4,0.6363636363636364
