Date,NewHighCount,NewLowCount,NHNL_Diff,NHNL_Ratio
2022-01-03,495,495,0,1.0
2022-01-04,339,158,181,2.1455696202531644
2022-01-05,71,260,-189,0.27307692307692305
2022-01-06,120,166,-46,0.7228915662650602
2022-01-07,159,199,-40,0.7989949748743719
2022-01-10,77,156,-79,0.4935897435897436
2022-01-11,116,42,74,2.761904761904762
2022-01-12,87,31,56,2.806451612903226
2022-01-13,108,104,4,1.0384615384615385
2022-01-14,113,135,-22,0.837037037037037
2022-01-18,21,213,-192,0.09859154929577464
2022-01-19,17,212,-195,0.08018867924528301
2022-01-20,12,227,-215,0.05286343612334802
2022-01-21,10,274,-264,0.0364963503649635
2022-01-24,2,96,-94,0.020833333333333332
2022-01-25,10,241,-231,0.04149377593360996
2022-01-26,9,248,-239,0.036290322580645164
2022-01-27,18,225,-207,0.08
2022-01-28,43,31,12,1.3870967741935485
2022-01-31,29,9,20,3.2222222222222223
2022-02-01,42,4,38,10.5
2022-02-02,69,9,60,7.666666666666667
2022-02-03,24,42,-18,0.5714285714285714
2022-02-04,22,77,-55,0.2857142857142857
2022-02-07,30,57,-27,0.5263157894736842
2022-02-08,64,20,44,3.2
2022-02-09,92,3,89,30.666666666666668
2022-02-10,22,46,-24,0.4782608695652174
2022-02-11,31,94,-63,0.32978723404255317
2022-02-14,4,109,-105,0.03669724770642202
2022-02-15,34,34,0,1.0
2022-02-16,38,29,9,1.3103448275862069
2022-02-17,8,98,-90,0.08163265306122448
2022-02-18,9,83,-74,0.10843373493975904
2022-02-22,6,91,-85,0.06593406593406594
2022-02-23,3,195,-192,0.015384615384615385
2022-02-24,7,76,-69,0.09210526315789473
2022-02-25,32,7,25,4.571428571428571
2022-02-28,30,25,5,1.2
2022-03-01,27,104,-77,0.25961538461538464
2022-03-02,46,0,46,
2022-03-03,48,16,32,3.0
2022-03-04,75,81,-6,0.9259259259259259
2022-03-07,42,192,-150,0.21875
2022-03-08,14,81,-67,0.1728395061728395
2022-03-09,13,4,9,3.25
2022-03-10,31,23,8,1.3478260869565217
2022-03-11,19,56,-37,0.3392857142857143
2022-03-14,8,67,-59,0.11940298507462686
2022-03-15,23,0,23,
2022-03-16,19,0,19,
2022-03-17,54,0,54,
2022-03-18,44,1,43,44.0
2022-03-21,60,0,60,
2022-03-22,23,0,23,
2022-03-23,43,2,41,21.5
2022-03-24,70,0,70,
2022-03-25,100,5,95,20.0
2022-03-28,56,5,51,11.2
2022-03-29,76,0,76,
2022-03-30,61,1,60,61.0
2022-03-31,15,14,1,1.0714285714285714
2022-04-01,55,10,45,5.5
2022-04-04,20,10,10,2.0
2022-04-05,18,25,-7,0.72
2022-04-06,59,36,23,1.6388888888888888
2022-04-07,47,32,15,1.46875
2022-04-08,64,17,47,3.764705882352941
